Expected parameter value for CONUS run,,,,,,,,,,,,,,,,,,,,,,,
DHSVMLandCover,cluster,"Overstory
Annual
Max
LAI","Understory
Annual
Max
LAI","Overstory
Height (m)","Understory
Height
(m)","Rain LAI
Multiplier","Snow 
LAI
Multiplier","Snow
Water
Capacity","Max Snow 
Interception Capacity
(m)","Snow
Interception Efficiency",,LAI_R_1,LAI_R_2,LAI_R_3,LAI_R_4,LAI_R_5,LAI_R_6,LAI_R_7,LAI_R_8,LAI_R_9,LAI_R_10,LAI_R_11,LAI_R_12
Evergreen,1,7.12,0.53,16.07,0.51,0.0001,0.005,0.035,0.04,0.6,,1,1,1,1,1,1,1,1,1,1,1,1
Evergreen,2,7.11,1.6,24.25,0.89,0.0001,0.005,0.035,0.04,0.6,,1,1,1,1,1,1,1,1,1,1,1,1
Evergreen,3,3.21,1.2,16.23,0.69,0.0001,0.005,0.035,0.04,0.6,,1,1,1,1,1,1,1,1,1,1,1,1
Evergreen,4,4.05,0.73,15.21,0.52,0.0001,0.005,0.035,0.04,0.6,,1,1,1,1,1,1,1,1,1,1,1,1
Evergreen,5,3.51,0.37,12.62,0.42,0.0001,0.005,0.035,0.04,0.6,,1,1,1,1,1,1,1,1,1,1,1,1
Deciduous,1,4.53,0.53,16.11,0.51,0.0001,0.005,0.035,0.014,0.6,,0.1,0.12,0.19,0.26,0.57,1,0.91,0.74,0.55,0.23,0.18,0.11
Deciduous,2,5.26,1.6,21.22,0.89,0.0001,0.005,0.035,0.014,0.6,,0.27,0.32,0.41,0.67,0.99,0.97,1,1,0.82,0.67,0.35,0.26
Deciduous,3,4.9,1.2,19,0.69,0.0001,0.005,0.035,0.014,0.6,,0.19,0.24,0.33,0.63,0.96,1,0.97,0.84,0.7,0.51,0.27,0.19
Deciduous,4,5.18,0.73,18.89,0.52,0.0001,0.005,0.035,0.014,0.6,,0.22,0.23,0.32,0.43,0.68,0.94,1,0.97,0.79,0.49,0.27,0.22
Deciduous,5,5.5,0.37,20.97,0.42,0.0001,0.005,0.035,0.014,0.6,,0.21,0.25,0.34,0.55,0.8,0.97,1,0.95,0.84,0.57,0.28,0.22
Mixed,1,5.83,0.53,14.98,0.51,0.0001,0.005,0.035,0.027,0.6,,0.27,0.3,0.34,0.48,0.72,1,0.96,0.84,0.74,0.44,0.37,0.23
Mixed,2,6.37,1.6,20.95,0.89,0.0001,0.005,0.035,0.027,0.6,,0.48,0.42,0.63,0.78,1,0.96,0.95,0.93,0.85,0.69,0.46,0.41
Mixed,3,4.06,1.2,18.61,0.69,0.0001,0.005,0.035,0.027,0.6,,0.34,0.43,0.53,0.74,0.99,1,0.98,0.95,0.84,0.66,0.41,0.32
Mixed,4,4.62,0.73,17.47,0.52,0.0001,0.005,0.035,0.027,0.6,,0.27,0.31,0.4,0.49,0.73,0.94,1,0.91,0.84,0.52,0.35,0.28
Mixed,5,4.51,0.37,19.45,0.42,0.0001,0.005,0.035,0.027,0.6,,0.33,0.39,0.5,0.75,0.94,1,0.99,0.99,0.98,0.75,0.42,0.34
Crop,1,,4,,1.65,0.0001,0.005,0.035,0.04,0.6,,0.04,0.06,0.08,0.13,0.34,0.81,1,0.85,0.39,0.16,0.11,0.06
Crop,2,,4,,1.65,0.0001,0.005,0.035,0.04,0.6,,0.25,0.29,0.43,0.58,0.62,0.75,1,0.95,0.6,0.3,0.27,0.26
Crop,3,,4,,1.65,0.0001,0.005,0.035,0.04,0.6,,0.33,0.4,0.51,0.61,0.66,0.86,1,0.92,0.68,0.43,0.33,0.3
Crop,4,,4,,1.65,0.0001,0.005,0.035,0.04,0.6,,0.1,0.1,0.14,0.22,0.37,0.72,1,0.94,0.45,0.19,0.15,0.11
