lat,lon,prec_idf_in
64.22838,-144.88283,1.758
65.38499,-147.1732,1.949
64.03572,-147.23177,1.864
63.0264,-145.18753,2.479
63.36603,-147.69194,1.733
64.86224,-146.10659,1.956
62.77942,-147.73412,2.227
64.43882,-147.89695,1.486
65.22958,-145.70516,1.908
62.96174,-148.63803,2.865
62.81455,-146.82605,1.72
63.09599,-148.78702,2.849
63.85189,-144.81025,1.737
64.51035,-147.78857,1.46
64.1257,-146.1165,1.637
64.12763,-147.86259,1.848
62.82426,-145.3255,1.962
64.65373,-148.05261,1.366
64.39338,-145.95556,1.759
65.03083,-144.94144,2.005
63.10026,-147.95944,2.099
64.36772,-146.69777,1.73
63.63464,-147.58945,2.603
65.41934,-148.52916,1.654
63.27725,-146.43685,2.729
63.32261,-144.8107,3.262
63.84605,-145.21706,1.677
65.26479,-146.11841,1.815
65.5222,-147.999,1.691
65.49771,-145.08161,1.758
63.571,-147.84773,2.185
62.92935,-147.90014,2.288
65.33979,-145.86618,1.911
63.21905,-144.9681,3.299
64.09531,-147.72012,1.939
63.15439,-145.0182,2.797
63.15123,-147.06461,2.262
63.16763,-144.7419,3.147
64.85641,-147.20119,1.558
65.11176,-145.96641,1.914
64.54725,-148.46915,1.421
64.05384,-144.96899,1.664
64.8469,-146.97055,1.699
64.88207,-146.68632,1.684
65.03259,-147.07863,1.8
65.19642,-145.32092,1.751
63.94181,-145.04749,1.616
64.14253,-145.6727,1.676
62.87603,-146.86522,1.649
64.26459,-146.54912,1.636
65.02275,-147.30579,2.046
63.35886,-145.01787,3.795
63.69116,-147.39067,3.018
63.18881,-144.81498,3.114
64.79977,-147.5982,1.37
63.81736,-146.19588,1.769
65.22892,-148.05909,2.164
63.4951,-144.69865,2.888
65.13546,-146.84551,1.869
63.43506,-146.79465,2.982
62.85083,-148.27087,1.933
65.54438,-146.68147,2.083
64.7121,-145.08501,1.961
65.39842,-145.51703,1.704
64.66659,-147.78307,1.375
63.36144,-146.20902,3.528
62.90129,-144.93266,2.185
63.09261,-145.84217,2.619
64.83039,-147.52371,1.415
65.42653,-148.54051,1.556
63.09402,-148.15842,2.221
63.71568,-146.93605,2.512
63.43349,-144.6624,3.173
63.15005,-147.75352,2.133
63.40411,-147.30587,2.048
65.54904,-145.39805,1.591
64.62543,-144.63476,2.14
64.07175,-146.39126,1.668
63.29124,-147.77026,1.668
63.58393,-146.14846,3.533
63.5742,-148.55511,2.246
63.93519,-145.5708,1.662
64.77946,-147.78469,1.29
64.99489,-147.143,1.886
