return_period_yr,lat,lon,prec_idf_hist,prec_idf_future,ng_idf_hist,ng_idf_future
2,62.682,-147.53268,26.11641186,31.66908528,50.64170789,44.29296027
2,62.68213,-144.53275,35.94986385,41.12992489,38.58849101,41.71091747
2,62.68214,-148.16132,25.33915723,30.69526125,53.4647118,46.98966337
2,62.68298,-146.42998,29.91924141,34.60694606,49.93766361,46.50372086
2,62.68371,-146.98134,29.02428568,33.3658135,43.35627572,44.1421053
2,62.68505,-145.00702,33.2514133,39.8869447,46.06358762,46.91608031
2,62.68549,-145.95569,33.39557157,41.28642283,46.34442312,43.14166539
2,62.68616,-145.48135,36.3323615,40.06358439,57.80637793,51.19908956
2,62.68639,-148.23874,27.13136181,31.84312371,60.13745425,52.10885007
2,62.68663,-147.61002,26.29597755,32.29588999,54.48781108,43.47230749
2,62.68829,-146.5071,30.34808612,33.48250509,51.74028984,49.75473026
2,62.6886,-144.60944,35.01114419,39.83687965,38.23379497,41.83983065
2,62.68867,-147.05856,28.04271186,33.4749929,43.49429116,43.486598
2,62.69057,-148.31619,30.29098845,36.43945843,61.16058365,56.01081093
2,62.69109,-146.03271,33.04536998,40.15516419,50.84674063,44.24234462
2,62.6912,-147.68735,26.9344458,31.27477789,51.34105359,42.36842554
2,62.69123,-145.08382,33.51219997,39.67063663,47.08520467,46.17960183
2,62.69205,-145.55827,37.31859896,41.0020424,58.09270711,51.75816018
2,62.69355,-146.58424,31.64870855,33.10721507,50.71143509,51.88577642
2,62.69359,-147.13583,27.25220295,32.29894131,42.64834202,39.9779519
2,62.69471,-148.39368,31.96643553,38.28147649,63.10278471,55.19533115
2,62.69503,-144.68616,33.50217571,39.14638417,38.65767071,43.10371991
2,62.69574,-147.76474,27.46970156,31.52189003,50.16555634,43.69746287
2,62.69664,-146.10977,32.54968238,38.64284136,49.56605122,45.15521159
2,62.69737,-145.16068,33.35754818,38.6381759,47.73744909,45.49048333
2,62.6979,-145.63524,38.95991693,44.53022001,53.93719092,54.00919526
2,62.69847,-147.2131,27.04275738,32.78528033,43.73326493,41.68525163
2,62.69876,-146.66142,32.88237595,34.10085343,52.93075661,54.66386439
2,62.6988,-148.47116,32.36843934,38.00520116,53.33207587,47.68159754
2,62.70022,-147.84213,27.70268623,31.52446832,50.18327594,40.63373325
2,62.70142,-144.76294,33.00245934,38.64573922,39.65824745,43.3003351
2,62.70214,-146.18686,32.43540494,36.7526346,50.09505797,44.79972288
2,62.70285,-148.54871,32.74554223,37.02244035,41.41548502,43.86568121
2,62.70329,-147.29042,29.64997578,35.19102312,50.96529644,48.29079797
2,62.70346,-145.23756,33.22326831,38.15872346,47.28140467,44.2549032
2,62.7037,-145.71223,39.79734934,46.87764109,53.806161,54.02198425
2,62.70393,-146.73865,32.94863648,35.43185377,53.44647605,54.39966179
2,62.70466,-147.91956,25.58381087,28.18087249,42.7193223,39.95433179
2,62.70684,-148.62625,34.78789743,36.76881415,43.74950944,43.87720439
2,62.70761,-146.26399,32.16994787,35.55517515,49.40826075,42.10992054
2,62.70774,-144.83974,33.13459387,38.87720022,42.47002356,45.21839273
2,62.70807,-147.36777,31.68831761,37.61379233,56.85844972,52.20448715
2,62.70904,-146.81587,33.09248112,34.80445103,53.64166544,51.18394724
2,62.70904,-147.99701,23.32778144,26.79446244,40.16683689,36.67932131
2,62.70945,-145.78925,39.48037779,45.54210673,53.42807807,49.94413961
2,62.70951,-145.31448,34.40464561,38.32556744,49.00821016,44.42508595
2,62.71079,-148.70383,34.92849193,34.55855504,45.89792523,42.97209803
2,62.7128,-147.44513,28.57273204,33.96534371,48.89241726,48.44845412
2,62.71301,-146.34116,31.74297228,35.76781512,46.19941047,38.91420801
2,62.71338,-148.07449,25.9628295,30.86335188,51.30026058,44.13487438
2,62.71404,-144.91656,33.96687989,40.48035694,48.20081723,47.19007254
2,62.71412,-146.89314,32.59063996,33.89543332,50.23045271,44.78944071
2,62.7147,-148.78142,34.13745046,33.07877837,38.38177443,39.55872394
2,62.71516,-145.86632,38.61464258,43.32964423,54.42326635,47.54137361
2,62.7155,-145.39145,36.58141583,39.68683189,56.9754941,48.69203818
2,62.71731,-144.51855,37.88304127,43.44666873,41.07786421,45.27952595
2,62.71748,-147.52254,26.17792589,32.56466237,48.14747349,45.70117225
2,62.71767,-148.15201,29.23642153,36.45923467,61.34071808,52.70644454
2,62.71838,-146.41833,31.30755596,35.25034574,46.56055088,39.58452982
2,62.71914,-146.97046,31.41462759,35.26159301,47.58650013,45.6816631
2,62.72028,-144.99345,34.9360612,41.06967222,50.853012,47.35251969
2,62.72082,-145.94342,39.12423408,44.00387302,52.80424286,48.35444346
2,62.72145,-145.46843,38.08770528,41.12721224,57.62147369,53.90445569
2,62.72192,-148.22954,28.37152331,35.65061722,60.44137238,52.78407345
2,62.72211,-147.59996,25.09919565,32.09420123,52.29835456,46.12794789
2,62.7237,-146.49557,31.38263716,34.39215264,52.20398047,45.88718592
2,62.7238,-144.59535,35.88347101,42.45889443,42.05727599,45.25313966
2,62.72411,-147.04779,30.58283704,34.98164955,48.51125705,48.82205408
2,62.72611,-148.3071,28.40389128,34.73548105,46.96750474,44.41987937
2,62.72643,-146.02054,39.34167443,42.29439024,52.90620051,48.66024065
2,62.72648,-145.07037,35.266764,40.5205033,51.08760456,47.3358107
2,62.72669,-147.67741,25.1086773,30.80640752,48.32074715,42.40032816
2,62.72736,-145.54546,39.93752005,43.85509683,59.38465677,59.47269628
2,62.72897,-146.57281,32.32871953,34.16901869,50.24734214,47.92695234
2,62.72904,-147.12514,29.45530965,33.01113619,43.66857349,43.2107183
2,62.73024,-144.67218,33.83050752,40.65632763,41.19413173,43.99725652
2,62.73026,-148.38467,30.87664218,35.87478069,41.31216429,44.49936452
2,62.73124,-147.7549,26.70879155,30.89437642,55.98246804,43.79504096
2,62.73199,-146.09772,38.30271675,41.4045811,52.39207703,51.68245664
2,62.73263,-145.14732,34.74204062,39.05498607,50.16408667,46.61405122
2,62.73321,-145.62253,43.25684768,46.46344069,60.45842001,63.1725568
2,62.73392,-147.20251,29.39719969,34.26145075,46.14886918,43.09946565
2,62.73418,-146.65009,34.21267822,35.26078061,53.28284887,52.66860737
2,62.73436,-148.46228,32.18417928,36.50213741,41.13992878,44.11592173
2,62.73572,-147.8324,27.32973657,30.57979356,54.13905476,44.23234566
2,62.73663,-144.74905,33.78757499,39.79588243,44.3081611,44.22579294
2,62.7375,-146.1749,38.4343219,40.59483253,55.55781117,53.87392945
2,62.73841,-148.53992,31.65856879,34.78485694,39.97247879,40.11507784
2,62.73873,-145.2243,34.72419981,39.51135626,52.82743795,47.10030567
2,62.73875,-147.27994,34.16355556,39.01425519,58.6248817,52.93364653
2,62.73901,-145.69962,45.98420793,50.37159146,63.48328036,63.95975017
2,62.73935,-146.72742,34.33101839,36.11475235,53.68845642,52.43342213
2,62.74016,-147.90994,25.74457981,28.75256076,38.13990991,38.65699308
2,62.74241,-148.61757,32.76224475,34.39657327,40.1785189,40.29124196
2,62.74297,-144.82596,33.88849858,39.20254638,47.31305092,43.63597356
2,62.74297,-146.25212,39.23741317,40.78958439,57.87236679,52.47150247
2,62.74353,-147.35739,35.13027181,40.33785229,60.51111754,54.32471058
2,62.74449,-146.80475,34.55431837,36.95243534,55.5791388,52.48468941
2,62.74455,-147.98749,23.73198571,27.63159991,35.07730185,32.89306324
2,62.74478,-145.30133,35.88630913,39.16826481,54.3935338,46.58231599
2,62.74478,-145.77673,46.3600468,51.74285624,62.9969739,62.97484704
2,62.74637,-148.69525,33.90992979,34.47851634,38.78443133,40.69329426
2,62.74827,-147.43486,30.85951906,36.1653534,55.13026985,50.83493387
2,62.74839,-146.32938,38.58735082,41.31728609,57.26995818,53.17951697
2,62.74891,-148.06506,27.65231521,31.05673211,52.41466826,42.36022168
2,62.74926,-144.90289,35.1370492,40.98982725,50.02828723,45.73091606
2,62.74957,-146.88213,36.31039304,38.45813171,59.07166637,53.43784443
2,62.75027,-148.77295,35.26600828,34.74966803,36.94729901,36.92106557
2,62.7505,-145.85391,46.21783167,50.35642685,61.6511948,59.42445944
2,62.75078,-145.37839,36.59485814,39.48320282,56.49948072,46.97641327
2,62.75296,-147.51236,28.52283676,35.2614113,54.60645913,48.82345489
2,62.7532,-148.14268,30.01233912,36.22397943,63.61169405,54.60911008
2,62.75377,-146.40668,36.2145142,39.32873839,52.93976618,48.93379
2,62.75459,-146.95953,36.35315318,40.16757538,61.12349735,56.44544463
2,62.75552,-144.97987,35.89884352,41.68736227,53.24341839,48.68120132
2,62.75616,-145.93111,47.61282733,50.808105,65.21309476,62.69464293
2,62.75674,-145.45547,38.23889402,41.35931612,58.45357336,54.11437844
2,62.75745,-148.22032,29.24969127,37.65309633,57.5336884,50.18673012
2,62.7576,-147.58989,28.59118898,34.91654242,58.27998838,48.47158374
2,62.75902,-144.58124,37.06288951,42.18902829,48.14910391,45.72022559
2,62.75909,-146.48399,34.20842541,36.61195875,49.85128696,47.06252722
2,62.75958,-147.03696,34.25498136,38.562097,55.88394757,57.69620338
2,62.76165,-148.29797,27.85976236,33.39468389,34.5508753,37.85708226
2,62.76172,-145.05688,36.05160252,41.20383396,53.96284747,48.36492137
2,62.76178,-146.00833,46.96636126,48.79781744,65.99732572,62.43547894
2,62.76219,-147.66745,27.32519647,33.18078005,56.7567036,48.417387
2,62.76265,-145.53261,39.86904104,43.7112974,59.08024277,58.79999885
2,62.76437,-146.56134,34.56613526,36.8419234,51.47274999,49.09980311
2,62.76451,-147.11441,31.65054551,34.66704193,48.47864117,48.69952071
2,62.76546,-144.65816,35.10193302,40.63805438,49.82837236,45.33699081
2,62.76581,-148.37567,28.91867577,33.23644931,34.66140254,37.48756756
2,62.76674,-147.74503,25.98360725,30.95743874,47.90380638,45.67021123
2,62.76735,-146.0856,44.14027397,45.92729798,63.38990663,59.93947235
2,62.76788,-145.13394,36.20604696,41.02364928,54.53293925,49.08761933
2,62.76852,-145.60977,43.78140592,46.10923834,61.11189255,63.21646199
2,62.7694,-147.19191,29.90258875,34.48971537,45.78002275,43.09221873
2,62.76959,-146.63873,36.31270579,37.06039872,54.84564592,51.55337048
2,62.76991,-148.45337,30.18343882,33.34637127,38.68149698,38.55882604
2,62.77123,-147.82263,25.75926149,29.72195419,38.49121846,38.8338242
2,62.77187,-144.73512,35.75360675,40.75054222,49.98769915,46.34212027
2,62.77287,-146.1629,45.1234638,45.83575936,63.99423974,63.4703167
2,62.77396,-148.53111,29.37830991,33.7037832,38.22023625,39.39504206
2,62.774,-145.21103,36.69253815,41.5165875,55.39272415,53.93601575
2,62.77423,-147.26944,34.22668032,38.64704395,58.56082428,52.45348906
2,62.77434,-145.68697,48.33001516,50.62992331,66.0816529,63.73757855
2,62.77477,-146.71616,37.29033902,38.92065425,58.31608205,56.26493813
2,62.77568,-147.90027,23.89889707,27.65589433,27.97071262,31.96649902
2,62.77797,-148.60887,31.33698229,34.03541063,35.37870476,38.66736782
2,62.77822,-144.81213,35.34432135,42.07143398,50.703228,49.24717208
2,62.77835,-146.24023,49.44177625,49.03021855,79.00562728,74.24676397
2,62.77903,-147.34698,35.93143689,40.1227052,63.10580984,59.43585528
2,62.77991,-146.79359,39.97780987,44.01334737,71.66527819,63.70562495
2,62.78006,-145.28815,37.21255618,41.87610689,55.92965,54.78035854
2,62.78008,-147.97794,22.70791842,27.23560846,26.98860871,30.86174492
2,62.78011,-145.76421,49.40200235,53.75903756,69.86632816,68.45131216
2,62.78194,-148.68665,33.46934908,35.16179019,35.03832998,38.03522104
2,62.78378,-146.31758,47.93783846,49.64555196,80.51176147,75.37085948
2,62.78378,-147.42456,32.43761388,37.19152223,58.77017851,52.0202257
2,62.78444,-148.05563,25.90669986,29.87147184,32.4743395,34.35357625
2,62.78453,-144.88918,35.57229861,40.99817828,51.27928558,47.43802796
2,62.785,-146.87106,40.97593586,46.95683363,77.46252089,77.02742743
2,62.78583,-145.84146,49.70880118,55.12532306,67.87714429,68.75921038
2,62.78585,-148.76447,36.18644374,37.02837548,38.25312491,40.50212596
2,62.78607,-145.3653,37.4204877,41.95859363,54.17766203,52.05423748
2,62.78846,-147.50217,28.97112285,35.91767511,56.77122842,48.60262556
2,62.78874,-148.13333,29.33378897,33.22697835,39.92520244,38.3541445
2,62.78915,-146.39497,41.85613627,44.24982616,65.63571411,65.60969676
2,62.79004,-146.94858,39.27364241,45.31710036,73.4158364,69.23007495
2,62.79079,-144.96625,35.77447978,40.57237651,54.53580567,48.98409251
2,62.7915,-145.91876,50.30610787,54.92388989,74.11013887,71.72034607
2,62.79204,-145.4425,37.97336126,42.02015777,56.26796422,54.75319958
2,62.79299,-148.21107,28.56982448,32.86296065,36.85690516,35.60321913
2,62.79311,-147.57979,28.68725283,34.83703774,56.83535194,50.04522124
2,62.79422,-144.56708,37.93572999,41.95118673,50.86873266,46.24192307
2,62.79449,-146.4724,37.75883516,39.78918527,57.19134059,54.66508336
2,62.79502,-147.02612,37.60295835,41.35217502,57.83625126,64.04270432
2,62.797,-145.04337,35.82701402,40.65683595,54.73842351,48.97740554
2,62.79713,-145.99609,48.63883893,53.02879279,78.24748951,74.951194
2,62.7972,-148.28885,26.07236548,30.7902177,31.50456016,33.62488954
2,62.79771,-147.65744,29.15002364,35.08206576,57.88841896,49.92421257
2,62.79796,-145.51973,39.771286,43.58636757,59.46890116,57.22516889
2,62.79977,-146.54987,38.85457283,40.93456003,58.84260431,59.97929858
2,62.79997,-147.10367,31.72026074,35.37013486,48.01479371,50.30538882
2,62.80067,-144.6441,36.4830135,41.21337258,51.1670777,46.83467407
2,62.80136,-148.36664,26.48110218,31.20332326,33.74794283,35.76579328
2,62.80226,-147.73514,27.29626754,33.53702244,52.61909204,46.01254688
2,62.8027,-146.07346,46.45192157,50.37770314,74.06008117,71.51716607
2,62.80318,-145.12051,37.03168589,42.1697583,56.36601666,53.79066299
2,62.80383,-145.59698,41.82570681,45.60765841,60.08058995,59.71341404
2,62.80486,-147.18127,28.05821146,33.21558312,43.24331193,43.65092061
2,62.80501,-146.62735,39.95980807,41.83051817,62.16218866,62.69849496
2,62.80547,-148.44446,28.65389848,32.96915485,35.54566279,38.23275916
2,62.80677,-147.81285,26.54311741,31.26869361,38.63423385,39.28858643
2,62.80709,-144.72116,36.85722638,41.69897934,50.9591555,47.55368135
2,62.80824,-146.15085,48.90275734,49.74617669,76.34090727,72.72939263
2,62.80929,-145.19771,38.08001106,44.64430609,58.22174017,61.10086173
2,62.80954,-148.52228,30.57524628,33.98377116,35.70045623,38.58622621
2,62.80966,-145.67429,44.64422453,47.3150439,60.66511444,62.00927469
2,62.80971,-147.2589,31.74561806,35.98095482,54.43794671,49.0897941
2,62.8102,-146.70486,38.71176968,41.1260931,65.17926178,63.50404344
2,62.81122,-147.89059,24.97240264,29.35570821,30.82010447,33.64674739
2,62.81345,-144.79828,36.79638186,41.0536617,51.35487997,48.94876234
2,62.81355,-148.60016,31.71023171,34.53648975,33.71675397,38.07183027
2,62.81372,-146.22829,51.11076624,51.99275017,78.93659063,79.34318749
2,62.81451,-147.33655,34.3664809,37.79073618,63.69265821,57.68737588
2,62.81533,-146.78241,39.97142723,42.9800695,70.64704506,68.09772253
2,62.81536,-145.27493,39.86833384,46.2192347,58.94400783,60.36853821
2,62.81544,-145.75162,47.32668146,50.02466958,67.3935636,63.06090024
2,62.81564,-147.96835,24.95484011,30.03500545,29.84287773,33.13119883
2,62.81752,-148.67804,35.9604525,36.03435556,37.11745354,38.73381484
2,62.81915,-146.30576,47.95258314,49.78707707,78.87056848,78.4796026
2,62.81926,-147.41422,32.60105453,35.67385,59.95344485,58.98527944
2,62.81977,-144.87541,35.79876401,40.92799839,54.43437956,49.03466284
2,62.81999,-148.04614,25.3751796,30.39896971,27.66276034,32.42262177
2,62.82043,-146.85999,40.39208556,46.04282179,71.80563104,71.50348741
2,62.82117,-145.82898,48.16819376,52.63554382,72.88374017,69.14765129
2,62.82139,-145.35219,40.7349382,46.29911268,61.01103788,59.46746482
2,62.82143,-148.75595,40.37897017,38.82656836,46.36026422,46.36314852
2,62.82395,-147.49194,29.72802034,32.80868531,55.30679023,49.3053608
2,62.8243,-148.12396,25.64593671,29.36606669,25.85338058,29.90786841
2,62.82455,-146.38324,42.04906966,44.97915044,68.74291279,66.67025856
2,62.82548,-146.93759,40.18710804,47.83353845,66.41820098,69.68036932
2,62.82604,-144.95259,35.8662907,41.13386813,53.39182471,49.93655658
2,62.82685,-145.90639,49.61838161,53.28357609,78.74252038,75.6941314
2,62.82736,-145.42947,39.86010433,45.4332323,58.29489995,57.92392447
2,62.82856,-148.20181,25.8216869,28.30195152,25.70972256,28.72420017
2,62.82861,-147.56967,28.05353542,31.72218393,53.1622403,47.03709898
2,62.82942,-144.55287,38.5017276,43.50447982,54.81268823,49.2027715
2,62.82988,-146.46077,38.59451331,41.47397963,59.52661915,61.53111367
2,62.83047,-147.01523,34.83241691,40.50624783,54.32634971,59.02913305
2,62.83227,-145.02982,36.45708784,41.45752252,56.04783809,52.0363669
2,62.83249,-145.98383,49.58068042,53.98610266,75.69320217,76.45035305
2,62.83278,-148.27968,25.73552415,29.63663634,26.62666422,31.17850269
2,62.83322,-147.64743,27.82308701,31.46378332,51.49521149,44.54210957
2,62.8333,-145.50681,38.94996056,45.35485536,61.15494423,57.76790739
2,62.83518,-146.53833,40.4516844,42.85451552,69.18515901,64.83837433
2,62.83543,-147.0929,27.17699384,33.45825517,42.67039874,46.96814889
2,62.83589,-144.63,36.54290703,42.32114702,50.8168822,47.66058375
2,62.83694,-148.35757,27.61528705,31.1097947,29.21334918,33.2815443
2,62.83778,-147.72522,27.82522771,32.11570437,52.50015497,45.26236605
2,62.83807,-146.06128,49.28777995,53.89492535,81.51823777,79.0268663
2,62.83844,-145.10706,37.29667792,41.86153887,56.29873042,53.11389422
2,62.83918,-145.58418,39.31372087,45.75554232,59.01079878,60.5578412
2,62.84032,-147.17059,26.52578535,31.89124218,40.73794684,43.41407139
2,62.84042,-146.61592,40.0419621,43.14900263,72.28939973,67.13898678
2,62.84106,-148.43549,30.60166002,33.27447342,32.64626006,35.73502938
2,62.84229,-147.80304,27.9338823,33.49600987,55.1569098,46.12030574
2,62.84231,-144.70715,36.15120199,41.88184798,48.35940426,45.6666494
2,62.84361,-146.13879,49.30427902,51.96680719,80.03052354,78.6270939
2,62.84457,-145.18436,38.78197085,44.79675991,60.42309612,60.50774599
2,62.84501,-145.66158,39.04767515,45.02541267,56.40259212,58.91070342
2,62.84513,-148.51343,33.09045404,34.16856479,38.44171504,39.27982846
2,62.84518,-147.24832,29.32733767,32.68354354,51.30368743,46.63813713
2,62.84563,-146.69354,39.31948116,41.85861223,66.52563774,68.84102234
2,62.84674,-147.88087,29.61151581,35.96906267,60.65710726,49.35272034
2,62.84869,-144.78436,36.66834301,40.86083467,49.63161886,45.51252113
2,62.8491,-146.21632,48.26278414,50.43971025,75.89854531,78.28021949
2,62.84915,-148.5914,34.74769331,35.06928365,41.59382242,42.25467437
2,62.84999,-147.32608,31.63692059,35.90282989,58.6945646,51.85795234
2,62.85065,-145.26167,42.18324407,47.3286198,64.7122989,62.62865635
2,62.85078,-146.77119,39.36586672,44.31782635,61.55514027,68.42206372
2,62.8508,-145.73901,41.08566371,46.28140932,61.65140456,59.24144701
2,62.85117,-147.95874,30.55978833,37.64081945,57.0962543,48.54391993
2,62.85313,-148.6694,38.19475397,36.86510464,46.15512081,44.36733531
2,62.85455,-146.29388,44.92990629,48.20733293,72.37942471,75.23161687
2,62.85474,-147.40387,31.03680303,34.50172083,58.04925422,52.06524682
2,62.85501,-144.8616,37.32007621,41.58998992,55.19261725,50.16991495
2,62.85552,-148.03665,28.94962145,35.11903199,38.61589189,40.42339269
2,62.85587,-146.84888,40.49198888,48.03968046,56.89160944,66.31840931
2,62.85653,-145.81648,45.10229708,48.29573206,71.92798101,66.31765317
2,62.85668,-145.33902,43.34214319,48.17461358,70.6144662,64.22504458
2,62.85704,-148.74741,42.30825274,39.27428087,64.58556174,49.84829788
2,62.85946,-147.48167,28.40615797,32.60995054,50.13675219,45.6570326
2,62.85985,-148.11456,26.51290945,30.37096732,27.95989177,31.27354446
2,62.85994,-146.37149,38.90130047,44.12365352,70.22552399,69.91638359
2,62.86092,-146.92657,35.03230501,44.08272415,51.81881995,60.04707259
2,62.86129,-144.93889,38.05426134,42.63358938,55.48789928,53.24159297
2,62.86222,-145.89398,47.7170902,49.23711983,74.7520062,74.73973579
2,62.86267,-145.41643,41.02070876,46.46045428,65.01379266,62.25728279
2,62.86412,-147.55951,27.57454231,30.74205634,48.71805892,43.89417013
2,62.86412,-148.19252,25.89821199,29.48934352,28.28412291,31.75072479
2,62.86463,-144.53864,39.73020705,45.32833821,55.35785243,50.9564826
2,62.86529,-146.44911,37.97751722,42.80120787,68.82276591,66.52650728
2,62.86593,-147.00433,28.07134219,37.26038131,45.15005126,49.44356573
2,62.86753,-145.0162,37.85772616,42.87501164,56.42839457,52.97932798
2,62.86787,-145.97153,48.60010475,50.22468787,74.30691885,76.17099414
2,62.86834,-148.27049,28.50894097,30.63507664,32.66586329,34.84978184
2,62.8686,-145.49387,40.13937055,44.12362692,60.92631661,57.70248873
2,62.86872,-147.63739,28.47395532,30.90947771,51.30740519,46.98681833
2,62.87059,-146.52676,39.47313238,42.63001678,71.6102536,68.02733192
2,62.87089,-147.08209,24.68632755,31.7990863,40.42545518,43.85914782
2,62.87111,-144.61586,38.88203505,44.16846207,52.42163411,49.3612083
2,62.87251,-148.34848,31.04761961,33.13639782,36.71399555,38.0713103
2,62.87329,-147.71527,28.81414715,32.42258705,55.05362648,49.45081509
2,62.87347,-146.04909,48.12996847,50.88979815,80.1277413,80.49457302
2,62.8737,-145.09357,38.14576964,44.2257751,56.68274185,53.71984991
2,62.87449,-145.57132,38.7724315,43.29898763,58.24756162,58.34929417
2,62.87579,-147.1599,25.24035311,30.83696602,41.74321506,42.76763374
2,62.87585,-146.60446,38.68280508,43.55144305,70.11583299,68.67549705
2,62.87663,-148.42651,33.42652147,35.04301372,38.35017529,40.128152
2,62.87754,-144.69313,38.02659191,42.91371873,51.76088781,49.87564326
2,62.87781,-147.79318,30.21269259,34.05619275,64.65849213,55.1991883
2,62.87901,-146.12668,47.31409827,50.90333683,75.15666731,80.0854718
2,62.87985,-145.17096,39.4876439,44.03244667,57.95103184,56.05233914
2,62.88034,-145.64883,37.82543456,44.5361912,58.62138086,57.71013609
2,62.88066,-147.23773,27.1396446,32.61223788,48.09154714,45.74738023
2,62.88071,-148.50455,36.38694179,35.79670579,41.57433861,43.31178493
2,62.88228,-147.87115,31.84236497,38.09255718,68.65226567,58.64513176
2,62.88392,-144.77045,37.09987779,42.42255653,51.00475089,48.94186735
2,62.88452,-146.20432,42.53665007,47.73069911,69.77111572,71.55112497
2,62.88474,-148.58264,39.70498794,38.04964987,49.92275349,48.51293207
2,62.88547,-147.31558,29.69070655,35.00171766,53.69798064,48.82184093
2,62.88594,-145.24838,41.26303359,44.80636879,62.32842765,62.39531847
2,62.88614,-145.72636,39.1491415,43.86849642,63.65163463,58.72245256
2,62.8867,-147.94913,32.66236481,39.55340255,62.0960934,54.69245539
2,62.88871,-148.66074,43.47823292,41.07201279,68.4909465,55.23220953
2,62.88996,-146.28198,39.13850481,44.16111977,64.02957226,65.30427059
2,62.89023,-147.39348,29.49086713,33.42448358,53.7457621,49.79407991
2,62.89025,-144.84778,38.11156727,43.30724009,54.52117077,54.60235805
2,62.89108,-148.02713,31.18129378,35.37472941,41.10480015,43.10780524
2,62.89131,-146.83774,29.74664308,37.13904479,44.58925242,50.13120909
2,62.89188,-145.80392,41.75063334,43.67473866,63.59419073,60.38886972
2,62.89198,-145.32584,44.30000575,46.22438768,65.2828715,61.16994264
2,62.89264,-148.73885,49.77333932,45.91994983,74.73374731,68.22770686
2,62.89495,-147.47139,27.95454339,31.44372618,51.87633159,48.47296478
2,62.89537,-146.3597,37.29923997,41.89865116,64.06012499,63.30122042
2,62.8954,-148.10515,28.45321498,30.90653008,33.22683753,33.2684094
2,62.89638,-146.91556,27.63861313,35.26739861,42.303332,46.74361857
