lat,lon,prec_idf_hist,ng_idf_hist
64.22838,-144.88283,54.76,75.18
65.38499,-147.1732,93.57,94.64
64.03572,-147.23177,64.7,65.7
63.0264,-145.18753,70.02,79.34
63.36603,-147.69194,64,72.91
64.86224,-146.10659,81,100.25
62.77942,-147.73412,75.09,92.99
64.43882,-147.89695,89.03,99.59
65.22958,-145.70516,64.12,71.18
62.96174,-148.63803,55.04,72.39
62.81455,-146.82605,73.95,82.39
63.09599,-148.78702,89.31,92.88
63.85189,-144.81025,65.91,74.77
64.51035,-147.78857,70.24,81.62
64.1257,-146.1165,74.84,97.76
64.12763,-147.86259,58.49,68.49
62.82426,-145.3255,81.4,95.22
64.65373,-148.05261,91.91,102.37
64.39338,-145.95556,79.65,80.85
65.03083,-144.94144,62.91,75.7
63.10026,-147.95944,76.59,84.86
64.36772,-146.69777,84.6,96.47
63.63464,-147.58945,59.12,68.96
65.41934,-148.52916,70.8,93.33
63.27725,-146.43685,81.18,90.91
63.32261,-144.8107,94.65,113.73
63.84605,-145.21706,65.94,83.26
65.26479,-146.11841,77.65,80.15
65.5222,-147.999,73.83,84.38
65.49771,-145.08161,65.42,66.74
63.571,-147.84773,82.27,93.32
62.92935,-147.90014,70.04,94
65.33979,-145.86618,76.22,81.06
63.21905,-144.9681,69.05,91.6
64.09531,-147.72012,82.14,92.11
63.15439,-145.0182,98.33,117.74
63.15123,-147.06461,73.92,89
63.16763,-144.7419,61.83,61.52
64.85641,-147.20119,82.54,75.29
65.11176,-145.96641,72.52,89.65
64.54725,-148.46915,81.25,90.17
64.05384,-144.96899,74.23,87.19
64.8469,-146.97055,73.31,85.66
64.88207,-146.68632,54.69,58.38
65.03259,-147.07863,99.98,109.88
65.19642,-145.32092,85.43,91.56
63.94181,-145.04749,80.4,74.7
64.14253,-145.6727,64.42,79.42
62.87603,-146.86522,73.88,84.29
64.26459,-146.54912,58.68,68.81
65.02275,-147.30579,83.8,97.29
63.35886,-145.01787,73.7,74.63
63.69116,-147.39067,76.27,66.94
63.18881,-144.81498,97.63,108.33
64.79977,-147.5982,92.69,93.67
63.81736,-146.19588,93.67,102.4
65.22892,-148.05909,58.62,78.19
63.4951,-144.69865,67.92,83.16
65.13546,-146.84551,75.36,87.47
63.43506,-146.79465,71.59,78.39
62.85083,-148.27087,85.57,97.52
65.54438,-146.68147,99.91,111.04
64.7121,-145.08501,100.52,100.81
65.39842,-145.51703,62.42,86.1
64.66659,-147.78307,52.65,77.05
63.36144,-146.20902,79.04,86.85
62.90129,-144.93266,87.42,100.96
63.09261,-145.84217,70.16,81.37
64.83039,-147.52371,67.05,76.53
65.42653,-148.54051,95.9,105.12
63.09402,-148.15842,86.8,91.15
63.71568,-146.93605,54.53,71.95
63.43349,-144.6624,105.87,105.22
63.15005,-147.75352,81.57,89.11
63.40411,-147.30587,68.16,75.73
65.54904,-145.39805,81.7,99
64.62543,-144.63476,74.4,81.83
64.07175,-146.39126,55.63,66.9
63.29124,-147.77026,90.34,103.74
63.58393,-146.14846,86.37,92.85
63.5742,-148.55511,112.95,114.71
63.93519,-145.5708,72.87,86.13
64.77946,-147.78469,81.74,89.49
64.99489,-147.143,76.26,83.44
64.14543,-148.67452,63.55,64.59
63.76363,-146.16719,83.02,89.54
65.48577,-145.88724,89.16,106.69
63.4918,-145.58508,74.23,82.77
64.267,-144.77289,86.34,94.36
63.44693,-145.52411,79.27,99.34
62.96356,-145.71376,120.26,124.82
65.03814,-145.30932,79.03,91.07
64.43875,-145.78439,54.86,59.33
64.46335,-148.58202,75.98,80.29
63.69502,-146.1179,80.65,88.81
64.78172,-146.1808,94.14,113.56
62.92032,-144.59859,79.42,96
62.81965,-148.41019,78.53,87.66
64.61687,-146.41813,54.66,58.43
64.50374,-148.40287,90.57,91.7
63.22467,-144.68138,123.26,133.68
62.85312,-145.81426,76.54,71.06
65.13705,-146.9932,66.61,78.78
62.81892,-145.67837,95.33,112.89
63.90706,-146.2054,61.55,69.87
64.82636,-145.03279,83.53,94.76
64.05614,-146.48617,81.08,86.51
65.17523,-148.3678,80.35,71.36
64.72219,-148.32591,120.89,132.42
64.45605,-144.70579,99.05,98.23
65.36378,-147.48325,62.93,86.58
63.49631,-145.98139,64.71,86.68
63.60255,-145.66741,86.6,105.94
63.20672,-145.42796,83.34,90.63
62.76462,-147.71332,86.98,96.51
64.97459,-145.00462,125.07,128.16
63.20675,-144.74822,104.2,100.2
64.39806,-146.43409,61.62,88.44
65.03432,-147.90589,68.3,88.47
65.58441,-146.44838,90,100.75
62.79417,-146.57128,83.41,98.02
64.36398,-146.40874,78.27,85.55
62.90565,-145.36569,62.79,74.37
64.95915,-145.578,88.96,99.1
65.27157,-145.93519,118.47,122.51
63.92199,-147.49014,64.35,83.22
65.33277,-148.31901,109.5,103.74
63.97699,-144.56439,81.88,90.82
63.41735,-145.25568,74.98,78.64
64.48036,-148.0072,84.36,93.7
63.57528,-147.76051,69.73,76.58
65.03034,-145.53697,58.53,75.4
63.04893,-146.14658,110.79,120.3
64.86733,-147.65184,92.37,98.04
63.15255,-144.72207,120.28,109.95
65.37189,-145.50255,74.96,76.96
65.08598,-146.91672,85.24,88.04
64.88755,-145.73748,73.01,81.91
63.60574,-146.47917,58.16,71.53
63.96554,-148.28586,82.87,87.97
65.19934,-148.42995,115.24,130.94
62.7166,-145.96953,68.99,83.39
64.99452,-146.29943,93.2,103.44
65.05674,-146.29458,83.78,94.65
63.68064,-148.47729,130.26,126.06
65.08628,-147.18346,88.65,92.56
63.39047,-146.36394,56.65,64.73
64.982,-145.0151,72.26,81
63.24552,-147.24309,80.29,93.33
63.04081,-147.4836,121.74,128.54
64.36496,-148.74455,74.77,90.98
62.69634,-148.11981,92.56,110.58
63.43177,-148.11244,92.1,100.51
63.23189,-145.59825,48.69,62.87
63.87162,-147.88731,131.07,135.05
63.49226,-144.78598,79.14,77.06
64.91,-148.54228,114.37,119.53
63.81665,-146.86999,67.77,77.46
63.72201,-147.31824,57.08,69.72
64.20047,-147.04636,83.05,91.99
63.77403,-145.37242,87.24,114.93
64.15639,-146.2302,129.31,140.54
63.59441,-145.24306,91.04,81.06
65.23972,-147.22089,96.47,103.12
63.91094,-146.304,57.48,87.97
65.11881,-145.66455,67.32,71.88
63.63243,-148.57069,103.34,113.72
63.22936,-144.77802,86.72,94.93
65.3545,-147.51798,84.87,92.91
63.25689,-145.76876,125.83,130.06
63.46552,-146.9068,101.32,100.77
64.38889,-147.63143,64.66,73.7
65.06573,-144.56259,60.16,87.53
65.5031,-147.99384,94.74,96.3
63.38303,-146.35364,87.55,100.11
64.85075,-148.08655,87.15,96.84
64.4345,-147.31759,87.46,97.22
64.02029,-144.55356,117.64,133.21
64.78262,-147.01933,57.22,68.86
63.62831,-148.11839,62.97,87.92
64.45769,-148.30892,105.62,102.45
63.74207,-147.39385,86.15,100.38
64.72055,-146.83185,70.93,82.81
64.01168,-144.70352,89.26,88.63
64.88791,-145.61886,60.54,70.16
64.66791,-147.32873,57.77,85.93
63.64222,-148.60873,113.45,127.36
64.75344,-147.50451,93.22,100.44
62.74557,-147.20815,116.06,111.91
64.69822,-148.33762,69.31,75.37
62.82724,-146.16346,90.92,98.74
64.09013,-146.32366,67.44,82.03
64.7317,-146.56141,58.52,76.09
63.14881,-146.30579,85.24,88.14
64.55161,-146.39495,117.19,131.07
63.39798,-146.74271,95.9,112.73
65.32247,-147.71364,70.19,87.88
63.16177,-146.91869,124.75,114.67
63.30122,-147.80774,75.62,83.97
64.43848,-145.24345,84.84,97.99
63.34974,-145.27878,56.79,68.54
65.29243,-145.89335,82.45,86.93
65.08403,-144.85002,73.55,85.37
63.22773,-145.91159,112.76,127.47
63.97065,-147.86767,75.5,82.76
63.81825,-147.5274,87.14,104.43
63.58282,-146.07774,100.63,114.62
64.53318,-144.60135,125.08,122.75
64.43999,-148.11424,52.65,70.54
63.283,-148.61833,84.25,78.49
64.1508,-144.86957,107.16,113.59
63.05162,-145.46967,65.65,77.66
63.92544,-147.33064,85.52,90.61
62.7213,-146.78889,50.54,62.51
65.49795,-146.58699,88.23,106.11
64.42883,-145.62919,123.68,127.89
62.93901,-146.13356,99.3,113.25
65.14075,-147.70351,101.13,84.23
64.89554,-147.28383,59.46,76.9
65.26568,-148.26338,57.13,63.56
64.56768,-144.74267,97.87,106.41
63.74928,-146.7044,94.14,111.61
63.26236,-146.41629,88.76,95.14
64.56813,-147.46775,120.11,121.17
63.58052,-145.93632,100.08,107.29
64.13503,-147.54183,56,62.01
64.7218,-145.59551,54.11,77.42
64.16128,-144.90712,90.12,93.12
63.831,-144.85106,97.18,107.01
65.09462,-147.60877,75.73,99.01
65.3863,-145.64428,90.67,94.09
63.37943,-148.36278,111.81,127.61
63.74056,-146.99477,56.24,56.94
65.26034,-148.13233,56.33,77.24
63.93682,-147.25316,103.51,108.5
63.62708,-146.6249,98.39,105.48
65.08441,-146.57625,58.26,81.76
63.86049,-148.79259,86.46,88.34
64.93927,-147.34947,62.96,61.37
63.62446,-148.34737,59.45,74.43
63.73935,-147.10966,107.91,125.59
65.45483,-144.85112,94.37,93.76
65.59045,-148.35388,105.44,108.45
63.92805,-147.09971,62.17,76.62
64.49997,-147.67729,94.07,106.69
63.36383,-146.05181,73.73,77.54
64.93662,-147.99946,60.92,80.44
64.04968,-147.4406,85.81,87.77
62.78854,-148.61857,108.51,124.24
65.18189,-148.23111,100.57,105.9
63.03753,-147.38715,107.42,104.7
63.23546,-144.83133,77.74,82.91
62.70143,-146.9656,65.79,76.34
63.02176,-145.31683,89.32,100.93
62.75509,-147.74561,63.04,80.76
64.98787,-146.16974,86.7,88.7
64.09209,-148.57021,111.83,116.65
62.74429,-147.95893,80.56,81.78
63.22384,-147.02842,69.66,77.7
65.58518,-145.6938,108.47,115.94
64.01999,-148.74741,88.86,113.61
64.69679,-146.46277,110.24,106.4
64.17661,-147.98271,61.91,77.54
63.89952,-147.71622,87.68,83.88
63.39891,-146.44462,103.96,117.32
63.67647,-148.77748,60.46,75.24
63.58907,-146.68729,89.85,94.34
65.08794,-148.08575,62.26,72.14
64.62424,-148.49031,90.64,126.75
64.16938,-148.59132,110.81,110.98
65.23264,-146.04699,113.67,116.81
65.26096,-145.5823,95.96,84.22
65.16251,-144.93741,56.73,76.31
64.99731,-145.70453,60.06,62.01
65.4744,-145.77344,92.75,110.92
63.35038,-148.39036,75.93,118.23
63.8187,-146.63971,91.7,96.14
65.18042,-148.49856,112.86,112.25
62.96446,-146.91905,109.72,108.72
65.59137,-147.31747,52.13,73.56
65.48593,-147.25385,57.09,62.1
64.16676,-144.61301,89.76,93.61
64.07602,-144.76767,94.34,112.45
63.13984,-146.04271,55.85,98.72
63.34643,-144.68344,94.48,92.39
63.84503,-147.02734,109.29,113.79
64.44655,-145.67771,66.3,59.06
65.33388,-145.25473,105.96,101.68
64.31573,-147.85644,54.21,75.29
63.08365,-145.12791,90.76,104.97
63.98687,-146.73876,51.43,75.9
64.90743,-146.24406,89.21,93.5
63.2169,-146.65135,73.64,64.29
64.99524,-148.23543,55.97,73.67
64.60807,-148.80407,103.91,116.26
64.80334,-144.52812,98.22,90.7
64.70489,-148.20276,103.23,96.83
65.40205,-147.49298,53.98,76.33
62.9974,-148.3429,86.85,103.08
65.56029,-148.65359,79.42,73.24
63.07305,-147.55208,88.14,92.1
63.06407,-145.0117,60.38,77.46
65.20377,-146.19758,107.16,126.62
65.49428,-146.67915,101.44,97.2
63.93664,-147.84129,97.97,102.95
63.28039,-147.08479,58.68,78.01
65.20323,-146.51091,87.21,80.03
65.01079,-145.65225,62.04,85.75
64.08109,-146.54514,91.12,96.3
65.18791,-145.78887,99.81,119.71
65.1031,-144.73405,96.11,89.03
63.6416,-148.39611,65.94,79.82
62.92931,-145.57757,107.04,106.52
63.91156,-148.11123,96.36,94.94
64.37803,-146.0515,68.86,89.98
65.14626,-146.95854,102.29,94.83
63.65695,-147.10852,92.07,113.31
65.11671,-145.03943,57.21,76.28
65.24534,-145.1274,96.5,100.99
64.98596,-144.64073,72.86,80.4
64.61846,-148.216,63.69,100.59
65.47242,-145.38315,101.83,91.48
65.05951,-145.69862,114.67,104.45
63.7066,-147.2261,119.69,98.46
63.2241,-146.29491,52.96,72.58
65.53229,-147.69406,91.23,108.98
63.92363,-147.70436,65.74,61.1
65.39447,-145.05328,54.23,93.34
64.04316,-145.39503,131.2,113.61
62.74092,-148.25181,98.85,97.87
65.24891,-146.53041,117.03,106.43
63.24158,-145.22484,112.89,97.97
62.84546,-146.57329,53.46,76.14
64.35028,-147.62182,65.52,71.09
65.14517,-147.3452,97.75,97.42
64.94363,-148.57006,95.94,112.71
63.13696,-146.01602,56.84,82.78
63.42774,-146.59988,95.83,96.43
63.23453,-148.03645,122.06,120.82
65.37707,-147.35676,78.62,76.89
62.68362,-148.65164,108.44,94.49
64.44436,-148.02496,58.93,85.82
63.28518,-147.3222,95.76,112.04
62.78285,-148.35752,93.47,100.46
63.9372,-145.29557,55.99,77.85
62.86128,-146.48144,84.61,79.73
65.39711,-144.72052,56.81,86.67
64.65317,-147.0435,119.33,130.98
63.69132,-148.11681,99.42,99.84
63.03874,-147.52661,104.19,94.1
62.76524,-145.42721,54.01,74.86
65.29423,-148.23419,86.8,118.8
64.59582,-147.62885,88.44,84.07
64.7234,-145.55038,93.7,99.9
64.4161,-144.86115,57.62,81.24
63.36484,-145.18517,107.2,124.02
65.02583,-145.98526,101.43,100.51
62.96156,-144.89933,105.91,101.9
64.1429,-147.62442,55.75,76.7
62.8802,-145.19702,92.72,89.42
65.29323,-147.32657,75.08,110.78
63.99215,-147.82845,61.22,85.49
63.30477,-145.10482,94.49,96.05
64.56727,-148.0662,90.5,112.29
64.01316,-147.7176,106.45,104.72
63.96061,-144.58842,60.53,81.89
65.52228,-148.71722,98.02,93.87
65.04406,-148.50635,101.18,101.37
65.29587,-147.35498,64.6,92.88
62.78606,-147.35545,68.9,87.05
63.95972,-144.97947,125.19,108.64
64.98129,-145.60979,83.39,108.36
65.42396,-144.97532,99.69,95.54
64.91541,-147.36191,62.24,79.87
65.17746,-147.83296,68.99,74.56
64.57229,-144.84291,66.27,89.82
63.75803,-147.04304,95.78,91.63
63.3094,-148.49375,102.85,92.5
63.33748,-144.71697,138.15,123.63
65.41494,-146.43816,56.28,71.68
65.31853,-145.59373,83.14,105.97
64.91192,-146.99498,63.59,65.35
63.7032,-147.12795,100.69,100.08
65.49448,-145.4153,69.69,91.23
63.75479,-145.02398,142.16,125.22
64.31794,-147.21763,85.45,93.24
63.38705,-145.44304,111.55,89.15
63.33887,-147.09796,59.99,79.69
63.87045,-146.71315,70.88,77.24
62.69476,-147.02446,83.44,105.73
65.14829,-148.20347,63.05,84.99
63.78413,-147.82986,101.66,103.26
63.43945,-145.51396,87.82,102.15
63.61586,-148.05332,109.85,88.98
63.68965,-146.99214,87.99,87.56
62.7354,-146.55911,64.69,87.75
64.33115,-148.02261,84.24,111
63.9052,-148.31456,100.15,108.77
65.25885,-146.37566,60.2,84.68
64.41714,-146.24885,101.74,93.39
64.3851,-146.36823,88.14,110.99
64.95222,-145.32973,102.56,101.37
64.43828,-145.90153,58.94,87.33
63.03726,-148.63185,104.45,96.02
63.62396,-145.51275,80.24,107.58
64.11748,-148.22745,57.31,87.43
64.67626,-145.88619,103.49,88.62
64.97856,-148.25845,94.36,103.14
63.19448,-146.80367,61.84,87.45
62.96673,-148.69152,88.59,112.46
64.09769,-146.52191,102.69,99.32
64.51505,-147.77165,107.84,105.71
63.23178,-146.00838,56.87,91.79
63.20843,-146.38771,101.89,88.14
63.27738,-145.43196,75.69,96.09
63.03868,-148.30994,72.37,91.87
64.30749,-145.08494,93.29,94.15
65.11967,-145.06753,83.55,104.2
65.2113,-145.22243,114.31,97.08
63.7541,-147.13077,57.91,86.19
62.94131,-144.55861,101,89.63
64.58818,-146.25789,104.7,105.5
63.01306,-148.71253,81.66,102.18
63.41434,-144.88711,75.49,92.34
65.15654,-148.51031,136.96,113.54
63.30383,-147.83467,75.2,94.59
63.66315,-145.40527,97.34,91.9
64.77736,-148.31354,60.83,80.21
64.98687,-147.05854,68.29,77.85
65.54081,-145.74989,85.47,106.74
64.76582,-147.90889,97.67,85.27
63.8193,-148.75453,100.24,94.4
64.12853,-147.34319,154.82,131.69
63.79461,-146.46602,60.57,75.71
63.98855,-146.8818,69.93,88.52
64.6292,-148.54625,71.85,75.91
64.20926,-147.20095,104.65,97.99
63.07288,-148.33612,79.01,97.09
64.22496,-147.62675,161.15,139.06
63.11197,-147.88384,85.1,90.55
62.91705,-148.36578,102.95,88.52
64.79216,-144.89017,63.42,77.36
63.26108,-144.88789,80.49,80.71
63.19776,-147.33698,68.38,89.02
62.86206,-148.79396,70.37,84.18
63.66768,-147.80095,109.44,103.43
62.85807,-146.99977,85.07,97.33
64.11602,-144.61366,107.11,90.53
65.09567,-145.43955,96.26,90.18
63.54375,-147.7616,70.35,85.03
63.14214,-144.79868,105.63,107.58
64.66447,-144.87698,69.58,93.19
64.92788,-146.51372,63.22,93.66
62.99255,-144.55791,113.95,104.5
64.07072,-148.75251,119.19,108.87
64.49343,-145.34377,82.67,93.5
63.85402,-146.06136,66.59,88.56
65.27212,-146.12922,109.55,106.93
63.41085,-145.54378,70.27,89.85
64.89012,-147.49292,59.44,93.65
65.36999,-145.66877,96.98,99.78
65.16935,-144.5892,114.64,103.07
64.40254,-147.24674,69.86,95.09
62.77134,-145.88516,82.56,89.91
64.27577,-148.72865,115.25,109.42
63.2082,-145.90783,110.47,114.08
63.24097,-145.97526,61.06,94.35
63.54713,-146.28191,80.11,93.22
62.74829,-148.26231,110.95,97.7
64.345,-148.45016,81.32,93.1
64.57904,-148.6868,94.05,93.3
63.55929,-146.83066,77.62,90.31
64.984,-147.90186,116.17,97.44
65.04602,-145.75096,105.86,91.57
63.30991,-148.70448,59.97,96.35
64.75138,-145.63764,109,106.7
63.13476,-145.24105,86.78,96.3
62.95747,-146.06787,88.93,89.82
64.90903,-148.24871,133.75,117.23
64.0477,-144.79858,101.39,95.55
63.04063,-148.19723,77.48,90.67
64.82888,-147.64209,56.41,85.78
64.04415,-144.53959,85.68,93.91
65.45486,-148.43688,82.08,84.32
63.1941,-145.66102,95.28,82.15
63.47053,-147.40048,110.48,103.82
63.06252,-144.942,151.38,130.68
63.73318,-146.98425,57.27,76.38
63.41743,-145.14176,75.67,92.42
63.321,-144.74052,88.73,91.8
63.90968,-148.22661,110.3,100.41
64.86893,-145.49652,82.87,94.16
63.2984,-144.71067,159.07,141.33
62.96389,-148.52557,106.12,105.69
62.82128,-145.29909,94.1,85.08
65.42915,-148.64362,58.44,78.2
64.74899,-145.37347,87.8,87.96
65.22122,-146.24745,71.36,88.26
65.22922,-146.1385,74.01,92.46
64.27043,-146.11035,118.89,110.18
64.10741,-146.18426,105.15,108.08
64.62207,-147.30853,102.66,94.35
64.11328,-146.80258,96.52,92.11
63.38211,-146.83575,66.51,84.53
64.97013,-147.61384,105.14,104.61
63.51462,-145.91464,67.01,87.16
65.31777,-145.83389,71.72,102.39
63.03546,-146.74334,115.44,117.45
63.87151,-145.15949,130.55,117.58
62.84987,-148.79938,97.65,99.34
62.79122,-145.14731,70.49,89.67
64.356,-147.74948,114.56,110.25
64.81063,-147.18105,75.45,87.32
65.43581,-147.25071,72.36,103.42
62.98726,-145.06816,109.38,102.13
65.2166,-148.62899,121.01,115.2
63.7173,-147.9905,77.22,99.65
64.51929,-148.08985,90.26,93.71
