return_period_yr,lat,lon,prec_idf_hist,prec_idf_future_medium,prec_idf_future_high,ng_idf_hist,ng_idf_future_medium,ng_idf_future_high
2,62.682,-147.53268,3.88,4.7,5.0,7.52,6.58,6.88
2,62.68213,-144.53275,5.34,6.11,6.41,5.73,6.2,6.49
2,62.68214,-148.16132,3.76,4.56,4.86,7.94,6.98,7.28
2,62.68298,-146.42998,4.44,5.14,5.44,7.42,6.91,7.2
2,62.68371,-146.98134,4.31,4.96,5.25,6.44,6.56,6.85
2,62.68505,-145.00702,4.94,5.93,6.22,6.84,6.97,7.27
2,62.68549,-145.95569,4.96,6.13,6.43,6.88,6.41,6.71
2,62.68616,-145.48135,5.4,5.95,6.25,8.59,7.61,7.9
2,62.68639,-148.23874,4.03,4.73,5.03,8.93,7.74,8.04
2,62.68663,-147.61002,3.91,4.8,5.1,8.09,6.46,6.75
2,62.68829,-146.5071,4.51,4.97,5.27,7.69,7.39,7.69
2,62.6886,-144.60944,5.2,5.92,6.22,5.68,6.22,6.51
2,62.68867,-147.05856,4.17,4.97,5.27,6.46,6.46,6.76
2,62.69057,-148.31619,4.5,5.41,5.71,9.09,8.32,8.62
2,62.69109,-146.03271,4.91,5.97,6.26,7.55,6.57,6.87
2,62.6912,-147.68735,4.0,4.65,4.94,7.63,6.29,6.59
2,62.69123,-145.08382,4.98,5.89,6.19,7.0,6.86,7.16
2,62.69205,-145.55827,5.54,6.09,6.39,8.63,7.69,7.99
2,62.69355,-146.58424,4.7,4.92,5.22,7.53,7.71,8.01
2,62.69359,-147.13583,4.05,4.8,5.1,6.34,5.94,6.24
2,62.69471,-148.39368,4.75,5.69,5.98,9.37,8.2,8.5
2,62.69503,-144.68616,4.98,5.82,6.11,5.74,6.4,6.7
2,62.69574,-147.76474,4.08,4.68,4.98,7.45,6.49,6.79
2,62.69664,-146.10977,4.84,5.74,6.04,7.36,6.71,7.01
2,62.69737,-145.16068,4.96,5.74,6.04,7.09,6.76,7.05
2,62.6979,-145.63524,5.79,6.61,6.91,8.01,8.02,8.32
2,62.69847,-147.2131,4.02,4.87,5.17,6.5,6.19,6.49
2,62.69876,-146.66142,4.88,5.07,5.36,7.86,8.12,8.42
