return_period_yr,lat,lon,prec_idf_hist,prec_idf_future,ng_idf_hist,ng_idf_future
2,62.682,-147.53268,98.7552,119.7518,191.4939,167.4871
2,62.68213,-144.53275,142.5356,163.0737,152.9973,165.3773
2,62.68214,-148.16132,93.6921,113.4964,197.6869,173.7453
2,62.68298,-146.42998,122.252,141.4063,204.0486,190.0173
2,62.68371,-146.98134,101.7193,116.9347,151.9476,154.7016
2,62.68505,-145.00702,125.8625,150.9792,174.3589,177.5857
2,62.68549,-145.95569,116.0104,143.4219,160.9925,149.8667
2,62.68616,-145.48135,141.1242,155.6172,224.5348,198.8704
2,62.68639,-148.23874,107.1511,125.7594,237.5035,205.7957
2,62.68663,-147.61002,104.1938,127.9676,215.8997,172.2525
2,62.68829,-146.5071,108.5748,119.7887,185.1087,178.005
2,62.6886,-144.60944,138.6821,157.7972,151.4473,165.7311
2,62.68867,-147.05856,104.264,124.4614,161.7136,161.685
2,62.69057,-148.31619,111.6402,134.3009,225.4129,206.4329
2,62.69109,-146.03271,117.3995,142.6583,180.642,157.1787
2,62.6912,-147.68735,94.6088,109.8545,180.3385,148.8216
2,62.69123,-145.08382,131.4672,155.6266,184.7137,181.161
2,62.69205,-145.55827,139.2889,153.0371,216.8268,193.1835
2,62.69355,-146.58424,118.1933,123.6401,189.3837,193.7694
2,62.69359,-147.13583,102.8525,121.8994,160.9591,150.8808
2,62.69471,-148.39368,122.7936,147.0518,242.3986,212.0235
2,62.69503,-144.68616,119.7091,139.8769,138.1306,154.0171
2,62.69574,-147.76474,105.4094,120.9588,192.5001,167.6801
2,62.69664,-146.10977,120.6905,143.2832,183.7852,167.4303
2,62.69737,-145.16068,140.3063,162.5173,200.7901,191.339
2,62.6979,-145.63524,154.0196,176.0406,213.229,213.5137
2,62.69847,-147.2131,104.0938,126.1981,168.3394,160.4561
2,62.69876,-146.66142,108.3481,112.363,174.4079,180.1185
2,62.6988,-148.47116,107.6083,126.3476,177.3016,158.5167
2,62.70022,-147.84213,96.4158,109.717,174.6567,141.4207
2,62.70142,-144.76294,142.4222,166.7758,171.1453,186.8627
2,62.70214,-146.18686,130.9608,148.392,202.2632,180.8828
2,62.70285,-148.54871,124.1547,140.3706,157.0268,166.3167
2,62.70329,-147.29042,119.9032,142.311,206.1015,195.2859
2,62.70346,-145.23756,130.8366,150.2729,186.1989,174.2803
2,62.7037,-145.71223,165.1452,194.526,223.2769,224.1725
2,62.70393,-146.73865,123.4296,132.732,200.217,203.7878
2,62.70466,-147.91956,99.4816,109.5802,166.1124,155.3609
2,62.70684,-148.62625,131.8903,139.4005,165.8662,166.3503
2,62.70761,-146.26399,128.1769,141.6648,196.8606,167.7813
2,62.70774,-144.83974,128.7919,151.113,165.0781,175.7608
2,62.70807,-147.36777,118.8367,141.0582,213.229,195.7758
2,62.70904,-146.81587,131.4288,138.228,213.0412,203.2802
2,62.70904,-147.99701,91.4689,105.0618,157.4952,143.8206
2,62.70945,-145.78925,154.4382,178.1503,208.9984,195.37
2,62.70951,-145.31448,131.9156,146.9493,187.9091,170.3363
2,62.71079,-148.70383,122.3856,121.0894,160.8213,150.5695
2,62.7128,-147.44513,111.4105,132.4373,190.6408,188.9098
2,62.71301,-146.34116,105.099,118.425,152.9634,128.8425
2,62.71338,-148.07449,92.6698,110.1614,183.1074,157.5318
2,62.71404,-144.91656,140.0788,166.9402,198.7792,194.6109
2,62.71412,-146.89314,116.4125,121.0732,179.4213,159.9862
2,62.7147,-148.78142,133.9499,129.7959,150.604,155.2222
2,62.71516,-145.86632,161.085,180.7541,227.0324,198.3238
2,62.7155,-145.39145,142.4486,154.5412,221.8635,189.6076
2,62.71731,-144.51855,147.4895,169.1503,159.9278,176.2861
2,62.71748,-147.52254,93.4491,116.2483,171.8753,163.1425
2,62.71767,-148.15201,120.9666,150.8513,253.7992,218.0746
2,62.71838,-146.41833,118.9372,133.9158,176.8832,150.3814
2,62.71914,-146.97046,122.8576,137.9024,186.1031,178.6536
2,62.72028,-144.99345,136.0417,159.9261,198.0226,184.3916
2,62.72082,-145.94342,142.5348,160.3119,192.3728,176.1616
2,62.72145,-145.46843,153.8393,166.1161,232.7378,217.7244
2,62.72192,-148.22954,116.74,146.6912,248.6975,217.1901
2,62.72211,-147.59996,103.7572,132.6737,216.1953,190.6876
2,62.7237,-146.49557,105.5899,115.7157,175.6453,154.3919
2,62.7238,-144.59535,136.1468,161.0948,159.571,171.6966
2,62.72411,-147.04779,110.6734,126.5919,175.553,176.6777
2,62.72611,-148.3071,115.5776,141.3413,191.1143,180.7478
