return_period_yr,lat,lon,prec_idf_hist,prec_idf_future,ng_idf_hist,ng_idf_future
2,62.682,-147.53268,48.7425,59.1058,94.5154,82.6664
2,62.68213,-144.53275,77.8056,89.0167,83.5163,90.2741
2,62.68214,-148.16132,55.5436,67.2842,117.1949,103.0016
2,62.68298,-146.42998,65.4614,75.7178,109.2605,101.7472
2,62.68371,-146.98134,60.3745,69.4055,90.187,91.8217
2,62.68505,-145.00702,72.5241,86.9967,100.4685,102.3278
2,62.68549,-145.95569,75.6483,93.5228,104.9803,97.7254
2,62.68616,-145.48135,68.8523,75.9232,109.5469,97.0257
2,62.68639,-148.23874,60.894,71.4691,134.9733,116.9538
2,62.68663,-147.61002,60.0651,73.77,124.4607,99.2991
2,62.68829,-146.5071,64.6138,71.2873,110.1597,105.9323
2,62.6886,-144.60944,69.977,79.6223,76.4182,83.6256
2,62.68867,-147.05856,64.2408,76.6851,99.6375,99.6199
2,62.69057,-148.31619,70.9276,85.3245,143.2101,131.1517
2,62.69109,-146.03271,66.9967,81.4112,103.0875,89.6976
2,62.6912,-147.68735,57.9429,67.28,110.4477,91.1453
2,62.69123,-145.08382,68.5367,81.1315,96.2952,94.4431
2,62.69205,-145.55827,78.0784,85.7849,121.5422,108.289
2,62.69355,-146.58424,68.5931,71.7542,109.9083,112.4535
2,62.69359,-147.13583,62.5301,74.1099,97.8566,91.7294
2,62.69471,-148.39368,72.0399,86.2716,142.2092,124.3888
2,62.69503,-144.68616,73.428,85.7986,84.7275,94.472
2,62.69574,-147.76474,67.6165,77.591,123.4823,107.5611
2,62.69664,-146.10977,65.2306,77.4414,99.3319,90.4924
2,62.69737,-145.16068,70.0301,81.1161,100.219,95.5017
2,62.6979,-145.63524,85.2144,97.398,117.9732,118.1307
2,62.69847,-147.2131,57.678,69.9259,93.2763,88.9082
2,62.69876,-146.66142,70.5832,73.1987,113.6178,117.338
2,62.6988,-148.47116,74.0029,86.89,121.9314,109.0129
2,62.70022,-147.84213,57.0185,64.8846,103.2887,83.6336
2,62.70142,-144.76294,79.3722,92.9445,95.3797,104.139
2,62.70214,-146.18686,66.6363,75.5057,102.9168,92.0379
2,62.70285,-148.54871,68.0127,76.8958,86.0202,91.1093
2,62.70329,-147.29042,68.8434,81.709,118.3348,112.125
2,62.70346,-145.23756,77.4732,88.9821,110.2553,103.1978
2,62.7037,-145.71223,84.817,99.9067,114.6729,115.1329
