lat,lon,prec_idf_hist,ng_idf_hist
64.22838,-144.88283,26.12,50.64
65.38499,-147.1732,35.95,38.59
64.03572,-147.23177,25.34,53.46
63.0264,-145.18753,29.92,49.94
63.36603,-147.69194,29.02,43.36
64.86224,-146.10659,33.25,46.06
62.77942,-147.73412,33.4,46.34
64.43882,-147.89695,36.33,57.81
65.22958,-145.70516,27.13,60.14
62.96174,-148.63803,26.3,54.49
62.81455,-146.82605,30.35,51.74
63.09599,-148.78702,35.01,38.23
63.85189,-144.81025,28.04,43.49
64.51035,-147.78857,30.29,61.16
64.1257,-146.1165,33.05,50.85
64.12763,-147.86259,26.93,51.34
62.82426,-145.3255,33.51,47.09
64.65373,-148.05261,37.32,58.09
64.39338,-145.95556,31.65,50.71
65.03083,-144.94144,27.25,42.65
63.10026,-147.95944,31.97,63.1
64.36772,-146.69777,33.5,38.66
63.63464,-147.58945,27.47,50.17
65.41934,-148.52916,32.55,49.57
63.27725,-146.43685,33.36,47.74
63.32261,-144.8107,38.96,53.94
63.84605,-145.21706,27.04,43.73
65.26479,-146.11841,32.88,52.93
65.5222,-147.999,32.37,53.33
65.49771,-145.08161,27.7,50.18
63.571,-147.84773,33,39.66
62.92935,-147.90014,32.44,50.1
65.33979,-145.86618,32.75,41.42
63.21905,-144.9681,29.65,50.97
64.09531,-147.72012,33.22,47.28
63.15439,-145.0182,39.8,53.81
63.15123,-147.06461,32.95,53.45
63.16763,-144.7419,25.58,42.72
64.85641,-147.20119,34.79,43.75
65.11176,-145.96641,32.17,49.41
64.54725,-148.46915,33.13,42.47
64.05384,-144.96899,31.69,56.86
64.8469,-146.97055,33.09,53.64
64.88207,-146.68632,23.33,40.17
65.03259,-147.07863,39.48,53.43
65.19642,-145.32092,34.4,49.01
63.94181,-145.04749,34.93,45.9
64.14253,-145.6727,28.57,48.89
62.87603,-146.86522,31.74,46.2
64.26459,-146.54912,25.96,51.3
65.02275,-147.30579,33.97,48.2
63.35886,-145.01787,32.59,50.23
63.69116,-147.39067,34.14,38.38
63.18881,-144.81498,38.61,54.42
64.79977,-147.5982,36.58,56.98
63.81736,-146.19588,37.88,41.08
65.22892,-148.05909,26.18,48.15
63.4951,-144.69865,29.24,61.34
65.13546,-146.84551,31.31,46.56
63.43506,-146.79465,31.41,47.59
62.85083,-148.27087,34.94,50.85
65.54438,-146.68147,39.12,52.8
64.7121,-145.08501,38.09,57.62
65.39842,-145.51703,28.37,60.44
64.66659,-147.78307,25.1,52.3
63.36144,-146.20902,31.38,52.2
62.90129,-144.93266,35.88,42.06
63.09261,-145.84217,30.58,48.51
64.83039,-147.52371,28.4,46.97
65.42653,-148.54051,39.34,52.91
63.09402,-148.15842,35.27,51.09
63.71568,-146.93605,25.11,48.32
63.43349,-144.6624,39.94,59.38
63.15005,-147.75352,32.33,50.25
63.40411,-147.30587,29.46,43.67
65.54904,-145.39805,33.83,41.19
64.62543,-144.63476,30.88,41.31
64.07175,-146.39126,26.71,55.98
63.29124,-147.77026,38.3,52.39
63.58393,-146.14846,34.74,50.16
63.5742,-148.55511,43.26,60.46
63.93519,-145.5708,29.4,46.15
64.77946,-147.78469,34.21,53.28
64.99489,-147.143,32.18,41.14
64.14543,-148.67452,27.33,54.14
63.76363,-146.16719,33.79,44.31
65.48577,-145.88724,38.43,55.56
63.4918,-145.58508,31.66,39.97
64.267,-144.77289,34.72,52.83
63.44693,-145.52411,34.16,58.62
62.96356,-145.71376,45.98,63.48
65.03814,-145.30932,34.33,53.69
64.43875,-145.78439,25.74,38.14
64.46335,-148.58202,32.76,40.18
63.69502,-146.1179,33.89,47.31
64.78172,-146.1808,39.24,57.87
62.92032,-144.59859,35.13,60.51
62.81965,-148.41019,34.55,55.58
64.61687,-146.41813,23.73,35.08
64.50374,-148.40287,35.89,54.39
63.22467,-144.68138,46.36,63
62.85312,-145.81426,33.91,38.78
65.13705,-146.9932,30.86,55.13
62.81892,-145.67837,38.59,57.27
63.90706,-146.2054,27.65,52.41
64.82636,-145.03279,35.14,50.03
64.05614,-146.48617,36.31,59.07
65.17523,-148.3678,35.27,36.95
64.72219,-148.32591,46.22,61.65
64.45605,-144.70579,36.59,56.5
65.36378,-147.48325,28.52,54.61
63.49631,-145.98139,30.01,63.61
63.60255,-145.66741,36.21,52.94
63.20672,-145.42796,36.35,61.12
62.76462,-147.71332,35.9,53.24
64.97459,-145.00462,47.61,65.21
63.20675,-144.74822,38.24,58.45
64.39806,-146.43409,29.25,57.53
65.03432,-147.90589,28.59,58.28
65.58441,-146.44838,37.06,48.15
62.79417,-146.57128,34.21,49.85
64.36398,-146.40874,34.25,55.88
62.90565,-145.36569,27.86,34.55
64.95915,-145.578,36.05,53.96
65.27157,-145.93519,46.97,66
63.92199,-147.49014,27.33,56.76
65.33277,-148.31901,39.87,59.08
63.97699,-144.56439,34.57,51.47
63.41735,-145.25568,31.65,48.48
64.48036,-148.0072,35.1,49.83
63.57528,-147.76051,28.92,34.66
65.03034,-145.53697,25.98,47.9
63.04893,-146.14658,44.14,63.39
64.86733,-147.65184,36.21,54.53
63.15255,-144.72207,43.78,61.11
65.37189,-145.50255,29.9,45.78
65.08598,-146.91672,36.31,54.85
64.88755,-145.73748,30.18,38.68
63.60574,-146.47917,25.76,38.49
63.96554,-148.28586,35.75,49.99
65.19934,-148.42995,45.12,63.99
62.7166,-145.96953,29.38,38.22
64.99452,-146.29943,36.69,55.39
65.05674,-146.29458,34.23,58.56
63.68064,-148.47729,48.33,66.08
65.08628,-147.18346,37.29,58.32
63.39047,-146.36394,23.9,27.97
64.982,-145.0151,31.34,35.38
63.24552,-147.24309,35.34,50.7
63.04081,-147.4836,49.44,79.01
64.36496,-148.74455,35.93,63.11
62.69634,-148.11981,39.98,71.67
63.43177,-148.11244,37.21,55.93
63.23189,-145.59825,22.71,26.99
63.87162,-147.88731,49.4,69.87
63.49226,-144.78598,33.47,35.04
64.91,-148.54228,47.94,80.51
63.81665,-146.86999,32.44,58.77
63.72201,-147.31824,25.91,32.47
64.20047,-147.04636,35.57,51.28
63.77403,-145.37242,40.98,77.46
64.15639,-146.2302,49.71,67.88
63.59441,-145.24306,36.19,38.25
65.23972,-147.22089,37.42,54.18
63.91094,-146.304,28.97,56.77
65.11881,-145.66455,29.33,39.93
63.63243,-148.57069,41.86,65.64
63.22936,-144.77802,39.27,73.42
65.3545,-147.51798,35.77,54.54
63.25689,-145.76876,50.31,74.11
63.46552,-146.9068,37.97,56.27
64.38889,-147.63143,28.57,36.86
65.06573,-144.56259,28.69,56.84
65.5031,-147.99384,37.94,50.87
63.38303,-146.35364,37.76,57.19
64.85075,-148.08655,37.6,57.84
64.4345,-147.31759,35.83,54.74
64.02029,-144.55356,48.64,78.25
64.78262,-147.01933,26.07,31.5
63.62831,-148.11839,29.15,57.89
64.45769,-148.30892,39.77,59.47
63.74207,-147.39385,38.85,58.84
64.72055,-146.83185,31.72,48.01
64.01168,-144.70352,36.48,51.17
64.88791,-145.61886,26.48,33.75
64.66791,-147.32873,27.3,52.62
63.64222,-148.60873,46.45,74.06
64.75344,-147.50451,37.03,56.37
62.74557,-147.20815,41.83,60.08
64.69822,-148.33762,28.06,43.24
62.82724,-146.16346,39.96,62.16
64.09013,-146.32366,28.65,35.55
64.7317,-146.56141,26.54,38.63
63.14881,-146.30579,36.86,50.96
64.55161,-146.39495,48.9,76.34
63.39798,-146.74271,38.08,58.22
65.32247,-147.71364,30.58,35.7
63.16177,-146.91869,44.64,60.67
63.30122,-147.80774,31.75,54.44
64.43848,-145.24345,38.71,65.18
63.34974,-145.27878,24.97,30.82
65.29243,-145.89335,36.8,51.35
65.08403,-144.85002,31.71,33.72
63.22773,-145.91159,51.11,78.94
63.97065,-147.86767,34.37,63.69
63.81825,-147.5274,39.97,70.65
63.58282,-146.07774,39.87,58.94
64.53318,-144.60135,47.33,67.39
64.43999,-148.11424,24.95,29.84
63.283,-148.61833,35.96,37.12
64.1508,-144.86957,47.95,78.87
63.05162,-145.46967,32.6,59.95
63.92544,-147.33064,35.8,54.43
62.7213,-146.78889,25.38,27.66
65.49795,-146.58699,40.39,71.81
64.42883,-145.62919,48.17,72.88
62.93901,-146.13356,40.73,61.01
65.14075,-147.70351,40.38,46.36
64.89554,-147.28383,29.73,55.31
65.26568,-148.26338,25.65,25.85
64.56768,-144.74267,42.05,68.74
63.74928,-146.7044,40.19,66.42
