return_period_yr,lat,lon,prec_idf_hist,prec_idf_future_medium,prec_idf_future_high,ng_idf_hist,ng_idf_future_medium,ng_idf_future_high
2,62.682,-147.53268,7.5,9.09,9.67,14.54,12.72,13.29
2,62.68213,-144.53275,10.32,11.81,12.39,11.08,11.98,12.55
2,62.68214,-148.16132,7.28,8.82,9.39,15.35,13.49,14.07
2,62.68298,-146.42998,8.59,9.94,10.51,14.34,13.35,13.93
2,62.68371,-146.98134,8.33,9.58,10.16,12.45,12.68,13.25
2,62.68505,-145.00702,9.55,11.46,12.03,13.23,13.47,14.05
2,62.68549,-145.95569,9.59,11.86,12.43,13.31,12.39,12.96
2,62.68616,-145.48135,10.43,11.5,12.08,16.6,14.7,15.28
2,62.68639,-148.23874,7.79,9.14,9.72,17.27,14.96,15.54
2,62.68663,-147.61002,7.55,9.28,9.85,15.65,12.48,13.06
2,62.68829,-146.5071,8.72,9.61,10.19,14.86,14.29,14.86
2,62.6886,-144.60944,10.05,11.44,12.02,10.98,12.02,12.59
2,62.68867,-147.05856,8.05,9.61,10.19,12.49,12.49,13.06
2,62.69057,-148.31619,8.7,10.46,11.04,17.56,16.08,16.66
2,62.69109,-146.03271,9.49,11.53,12.11,14.6,12.7,13.28
2,62.6912,-147.68735,7.73,8.98,9.55,14.74,12.17,12.74
2,62.69123,-145.08382,9.62,11.39,11.97,13.52,13.26,13.84
2,62.69205,-145.55827,10.72,11.77,12.35,16.68,14.86,15.44
2,62.69355,-146.58424,9.09,9.51,10.08,14.56,14.9,15.48
2,62.69359,-147.13583,7.83,9.28,9.85,12.25,11.48,12.06
2,62.69471,-148.39368,9.18,10.99,11.57,18.12,15.85,16.43
2,62.69503,-144.68616,9.62,11.24,11.82,11.1,12.38,12.95
2,62.69574,-147.76474,7.89,9.05,9.63,14.41,12.55,13.12
2,62.69664,-146.10977,9.35,11.1,11.67,14.24,12.97,13.54
2,62.69737,-145.16068,9.58,11.1,11.67,13.71,13.06,13.64
2,62.6979,-145.63524,11.19,12.79,13.36,15.49,15.51,16.08
2,62.69847,-147.2131,7.77,9.42,9.99,12.56,11.97,12.55
2,62.69876,-146.66142,9.44,9.79,10.37,15.2,15.7,16.27
2,62.6988,-148.47116,9.3,10.92,11.49,15.32,13.69,14.27
2,62.70022,-147.84213,7.95,9.05,9.63,14.41,11.67,12.24
2,62.70142,-144.76294,9.48,11.1,11.67,11.39,12.43,13.01
2,62.70214,-146.18686,9.32,10.55,11.13,14.39,12.87,13.44
2,62.70285,-148.54871,9.4,10.63,11.21,11.89,12.6,13.17
2,62.70329,-147.29042,8.51,10.11,10.68,14.64,13.87,14.44
2,62.70346,-145.23756,9.54,10.96,11.53,13.58,12.71,13.28
2,62.7037,-145.71223,11.43,13.46,14.04,15.45,15.51,16.09
2,62.70393,-146.73865,9.46,10.17,10.75,15.35,15.62,16.2
2,62.70466,-147.91956,7.35,8.09,8.67,12.27,11.47,12.05
2,62.70684,-148.62625,9.99,10.56,11.13,12.56,12.6,13.18
2,62.70761,-146.26399,9.24,10.21,10.79,14.19,12.09,12.67
2,62.70774,-144.83974,9.51,11.17,11.74,12.2,12.99,13.56
2,62.70807,-147.36777,9.1,10.8,11.37,16.33,14.99,15.56
2,62.70904,-146.81587,9.5,9.99,10.57,15.4,14.7,15.27
2,62.70904,-147.99701,6.7,7.69,8.27,11.54,10.53,11.11
