cell,lat,lon,mean_ALD_hist,mean_ALD_future,ALD_diff,ALD_pct_diff
62.68200_-147.53268,62.682,-147.53268,0.5922492979991112,0.7838129894978596,0.1915636914987484,32.34511077445564
62.68213_-144.53275,62.68213,-144.53275,1.0048916200022098,1.5152020903371115,0.5103104703349017,50.78263766731178
62.68214_-148.16132,62.68214,-148.16132,0.441783242117717,0.5854752413619329,0.14369199924421583,32.52545265307457
62.68298_-146.42998,62.68298,-146.42998,0.680284246979197,0.8878443688381115,0.20756012185891448,30.51079350735894
62.68371_-146.98134,62.68371,-146.98134,0.6722880843396459,0.919570458179443,0.24728237383979712,36.782203879560036
62.68505_-145.00702,62.68505,-145.00702,0.8271354591695661,1.1721708633130827,0.34503540414351663,41.714497948126656
62.68549_-145.95569,62.68549,-145.95569,0.7870165058198381,1.1282478200969575,0.3412313142771194,43.35758040063689
62.68616_-145.48135,62.68616,-145.48135,0.7566668465993214,1.0702389849684795,0.3135721383691581,41.44124191226846
62.68639_-148.23874,62.68639,-148.23874,0.4109213793966865,0.5514737237451606,0.14055234434847408,34.204193647658975
62.68663_-147.61002,62.68663,-147.61002,0.5726864440061834,0.7751755118869752,0.2024890678807918,35.35775466663665
63.37933_-148.37772,63.37933,-148.37772,0.5596642125052286,0.7567606090739689,0.19709639656874034,35.21690187880273
63.38023_-147.73199,63.38023,-147.73199,0.5550476498543269,0.7492111737554726,0.19416352390114577,34.981415370753176
63.38040_-146.03287,63.3804,-146.03287,0.0,0.29564928645457705,0.29564928645457705,inf
63.38046_-145.05846,63.38046,-145.05846,0.2766922765931034,0.529710701485789,0.2530184248926856,91.4439781290925
63.38136_-145.54565,63.38136,-145.54565,0.2561382725922597,0.4770510373652989,0.22091276477303923,86.24746412837136
63.38279_-147.16562,63.38279,-147.16562,0.5648017393369151,0.7585866493782727,0.19378491004135756,34.310253766014185
63.38284_-146.59921,63.38284,-146.59921,0.0,0.18973814550118379,0.18973814550118379,inf
63.38344_-148.45728,63.38344,-148.45728,0.552143523126329,0.765984478302428,0.21384095517609902,38.72923365383257
63.38417_-144.65010,63.38417,-144.6501,0.6011351583204532,0.7970517512693356,0.19591659294888242,32.59110538406459
63.38475_-147.81145,63.38475,-147.81145,0.5564943947755534,0.7601125609338999,0.2036181661583465,36.58943703116188
63.84473_-146.44431,63.84473,-146.44431,0.7414573393925322,0.9464848462105092,0.205027506817977,27.65196268553411
63.84534_-147.02109,63.84534,-147.02109,0.8007510381819729,1.0547163184277681,0.25396528024579523,31.715885229746142
63.84660_-144.95572,63.8466,-144.95572,1.2510907564904428,1.8363392103245635,0.5852484538341207,46.779056658995586
63.84724_-145.94815,63.84724,-145.94815,1.2149437133876644,1.7067559380310933,0.4918122246434289,40.48024770399395
63.84731_-148.33646,63.84731,-148.33646,0.43927541689521066,0.6136352091672064,0.17435979227199572,39.692590471911004
63.84787_-145.45193,63.84787,-145.45193,1.2641521139276706,1.9108896179942236,0.6467375040665531,51.159785040201
63.84800_-147.67874,63.848,-147.67874,0.3470545956505813,0.5052935195387854,0.15823892388820415,45.594821642275846
63.84998_-144.53981,63.84998,-144.53981,1.0083771090643046,1.4661453900571946,0.45776828099289,45.396536363034194
63.85005_-146.52498,63.85005,-146.52498,0.7236753525187298,0.9467771125569499,0.22310176003822002,30.82898419321885
63.85031_-147.10188,63.85031,-147.10188,0.8229011192605215,1.0828513488839973,0.2599502296234758,31.589485484850634
63.04727_-144.54460,63.04727,-144.5446,0.5586426237061439,0.767980548598226,0.20933792489208203,37.47260162557835
63.04774_-146.46852,63.04774,-146.46852,0.5947780867271171,0.8058824757467062,0.21110438901958917,35.49296682754948
63.04829_-147.02763,63.04829,-147.02763,0.5274178710604878,0.7089506904999245,0.18153281943943678,34.41916351344443
63.05015_-145.02554,63.05015,-145.02554,0.42813056035314584,0.6170688788763741,0.18893831852322823,44.131004889578875
63.05040_-145.98758,63.0504,-145.98758,0.6074865333371724,0.8449104694304371,0.23742393609326473,39.08299576436662
