return_period_yr,lat,lon,prec_idf_hist,prec_idf_future,ng_idf_hist,ng_idf_future
2,62.682,-147.53268,8.8429,10.723,17.147,14.9974
2,62.68213,-144.53275,11.7221,13.4112,12.5825,13.6006
2,62.68214,-148.16132,8.6552,10.4847,18.2621,16.0504
2,62.68298,-146.42998,10.7363,12.4184,17.9197,16.6875
2,62.68371,-146.98134,9.409,10.8164,14.0551,14.3098
2,62.68505,-145.00702,10.7793,12.9304,14.9327,15.2091
2,62.68549,-145.95569,12.0207,14.861,16.6817,15.5288
2,62.68616,-145.48135,12.496,13.7793,19.8817,17.6092
2,62.68639,-148.23874,8.6694,10.175,19.216,16.6505
2,62.68663,-147.61002,8.9275,10.9644,18.4986,14.7588
2,62.68829,-146.5071,9.7009,10.7028,16.539,15.9043
2,62.6886,-144.60944,11.1898,12.7322,12.2198,13.3723
2,62.68867,-147.05856,9.3542,11.1662,14.5083,14.5058
2,62.69057,-148.31619,8.8162,10.6057,17.8008,16.302
2,62.69109,-146.03271,9.7407,11.8364,14.9879,13.0412
2,62.6912,-147.68735,8.5572,9.9361,16.3112,13.4606
2,62.69123,-145.08382,10.3491,12.2509,14.5406,14.2609
2,62.69205,-145.55827,12.5015,13.7355,19.4608,17.3387
2,62.69355,-146.58424,9.839,10.2925,15.7653,16.1304
2,62.69359,-147.13583,8.2011,9.7199,12.8343,12.0307
2,62.69471,-148.39368,11.4347,13.6937,22.5725,19.7439
2,62.69503,-144.68616,10.8661,12.6968,12.5383,13.9803
2,62.69574,-147.76474,9.0685,10.4063,16.561,14.4257
2,62.69664,-146.10977,9.7873,11.6195,14.9039,13.5777
2,62.69737,-145.16068,10.6096,12.2891,15.1832,14.4685
2,62.6979,-145.63524,12.8951,14.7388,17.8523,17.8762
2,62.69847,-147.2131,8.2775,10.0352,13.3863,12.7594
2,62.69876,-146.66142,11.0553,11.465,17.7957,18.3784
2,62.6988,-148.47116,10.2591,12.0456,16.9034,15.1125
2,62.70022,-147.84213,8.9491,10.1837,16.2113,13.1264
2,62.70142,-144.76294,10.4593,12.2478,12.5687,13.723
2,62.70214,-146.18686,11.8499,13.4271,18.3016,16.367
2,62.70285,-148.54871,10.7579,12.163,13.6062,14.4112
2,62.70329,-147.29042,9.1301,10.8364,15.6937,14.8702
2,62.70346,-145.23756,11.4628,13.1656,16.3132,15.2689
2,62.7037,-145.71223,12.1267,14.2841,16.3953,16.4611
2,62.70393,-146.73865,10.9691,11.7958,17.7932,18.1105
2,62.70466,-147.91956,7.4228,8.1763,12.3944,11.5922
2,62.70684,-148.62625,10.5266,11.126,13.2383,13.277
2,62.70761,-146.26399,10.7023,11.8285,16.4371,14.0091
2,62.70774,-144.83974,11.3772,13.349,14.5827,15.5264
2,62.70807,-147.36777,10.5261,12.4944,18.887,17.3411
2,62.70904,-146.81587,10.8052,11.3641,17.5148,16.7123
2,62.70904,-147.99701,7.5315,8.6507,12.9681,11.8421
2,62.70945,-145.78925,11.8294,13.6457,16.0085,14.9647
2,62.70951,-145.31448,10.8235,12.057,15.4177,13.9759
2,62.71079,-148.70383,11.1669,11.0487,14.6739,13.7385
2,62.7128,-147.44513,9.9905,11.876,17.0952,16.94
2,62.71301,-146.34116,10.6521,12.0028,15.5033,13.0586
2,62.71338,-148.07449,7.6335,9.0743,15.083,12.9763
2,62.71404,-144.91656,11.3853,13.5686,16.1564,15.8176
2,62.71412,-146.89314,10.4681,10.8872,16.134,14.3863
2,62.7147,-148.78142,10.7684,10.4344,12.1072,12.4785
2,62.71516,-145.86632,13.1623,14.7695,18.5509,16.2051
2,62.7155,-145.39145,12.7719,13.8561,19.8921,17.0001
2,62.71731,-144.51855,13.1518,15.0833,14.2609,15.7196
2,62.71748,-147.52254,8.1738,10.168,15.0336,14.2697
2,62.71767,-148.15201,9.4345,11.7652,19.7944,17.0081
2,62.71838,-146.41833,10.4984,11.8205,15.6132,13.2739
2,62.71914,-146.97046,10.9336,12.2725,16.5621,15.8991
2,62.72028,-144.99345,11.1566,13.1153,16.2395,15.1217
2,62.72082,-145.94342,12.7206,14.3071,17.1684,15.7216
2,62.72145,-145.46843,11.6918,12.6248,17.6881,16.5471
2,62.72192,-148.22954,8.6589,10.8805,18.4465,16.1096
2,62.72211,-147.59996,8.6548,11.0669,18.0338,15.9061
2,62.7237,-146.49557,11.1581,12.2282,18.5612,16.3152
