lat,lon,mean_ALD_hist
64.22838,-144.88283,0.59
65.38499,-147.1732,1.00
64.03572,-147.23177,0.44
63.0264,-145.18753,0.68
63.36603,-147.69194,0.67
64.86224,-146.10659,0.83
62.77942,-147.73412,0.79
64.43882,-147.89695,0.76
65.22958,-145.70516,0.41
62.96174,-148.63803,0.57
62.81455,-146.82605,0.56
63.09599,-148.78702,0.56
63.85189,-144.81025,0.00
64.51035,-147.78857,0.28
64.1257,-146.1165,0.26
64.12763,-147.86259,0.56
62.82426,-145.3255,0.00
64.65373,-148.05261,0.55
64.39338,-145.95556,0.60
65.03083,-144.94144,0.56
63.10026,-147.95944,0.74
64.36772,-146.69777,0.80
63.63464,-147.58945,1.25
65.41934,-148.52916,1.21
63.27725,-146.43685,0.44
63.32261,-144.8107,1.26
63.84605,-145.21706,0.35
65.26479,-146.11841,1.01
65.5222,-147.999,0.72
65.49771,-145.08161,0.82
63.571,-147.84773,0.56
62.92935,-147.90014,0.59
65.33979,-145.86618,0.53
63.21905,-144.9681,0.43
64.09531,-147.72012,0.61
63.15439,-145.0182,0.43
63.15123,-147.06461,0.52
63.16763,-144.7419,0.56
64.85641,-147.20119,0.54
65.11176,-145.96641,0.45
64.54725,-148.46915,0.91
64.05384,-144.96899,1.48
64.8469,-146.97055,0.65
64.88207,-146.68632,0.63
65.03259,-147.07863,0.02
65.19642,-145.32092,0.00
63.94181,-145.04749,0.00
64.14253,-145.6727,0.72
62.87603,-146.86522,1.15
64.26459,-146.54912,0.51
65.02275,-147.30579,0.10
63.35886,-145.01787,0.00
63.69116,-147.39067,0.00
63.18881,-144.81498,0.30
64.79977,-147.5982,0.34
63.81736,-146.19588,0.69
65.22892,-148.05909,0.16
63.4951,-144.69865,0.19
65.13546,-146.84551,0.35
63.43506,-146.79465,0.10
62.85083,-148.27087,0.55
65.54438,-146.68147,0.36
64.7121,-145.08501,0.50
65.39842,-145.51703,0.22
64.66659,-147.78307,0.52
63.36144,-146.20902,0.37
62.90129,-144.93266,0.00
63.09261,-145.84217,0.00
64.83039,-147.52371,0.51
65.42653,-148.54051,0.64
63.09402,-148.15842,0.52
63.71568,-146.93605,1.04
63.43349,-144.6624,0.62
63.15005,-147.75352,0.42
63.40411,-147.30587,0.60
65.54904,-145.39805,1.36
64.62543,-144.63476,0.61
64.07175,-146.39126,0.79
63.29124,-147.77026,0.75
63.58393,-146.14846,1.42
63.5742,-148.55511,0.84
63.93519,-145.5708,0.60
64.77946,-147.78469,1.02
64.99489,-147.143,0.86
64.14543,-148.67452,0.99
63.76363,-146.16719,1.24
65.48577,-145.88724,1.31
63.4918,-145.58508,0.73
64.267,-144.77289,0.72
63.44693,-145.52411,0.88
62.96356,-145.71376,0.52
65.03814,-145.30932,0.54
64.43875,-145.78439,0.54
64.46335,-148.58202,0.31
63.69502,-146.1179,0.47
64.78172,-146.1808,0.40
62.92032,-144.59859,0.48
62.81965,-148.41019,0.54
64.61687,-146.41813,0.39
64.50374,-148.40287,0.51
63.22467,-144.68138,0.49
62.85312,-145.81426,0.52
65.13705,-146.9932,0.52
62.81892,-145.67837,0.53
63.90706,-146.2054,0.51
64.82636,-145.03279,0.41
64.05614,-146.48617,0.39
65.17523,-148.3678,0.47
64.72219,-148.32591,0.59
64.45605,-144.70579,0.51
65.36378,-147.48325,0.27
63.49631,-145.98139,1.66
63.60255,-145.66741,0.64
63.20672,-145.42796,0.47
62.76462,-147.71332,0.70
64.97459,-145.00462,1.05
63.20675,-144.74822,1.33
64.39806,-146.43409,0.35
65.03432,-147.90589,0.69
65.58441,-146.44838,0.69
62.79417,-146.57128,0.45
64.36398,-146.40874,0.00
62.90565,-145.36569,0.00
64.95915,-145.578,0.00
65.27157,-145.93519,0.57
63.92199,-147.49014,0.39
65.33277,-148.31901,0.91
63.97699,-144.56439,0.00
63.41735,-145.25568,0.34
64.48036,-148.0072,0.00
63.57528,-147.76051,0.43
65.03034,-145.53697,0.55
63.04893,-146.14658,0.52
64.86733,-147.65184,0.49
63.15255,-144.72207,0.32
65.37189,-145.50255,0.69
65.08598,-146.91672,0.44
64.88755,-145.73748,0.50
63.60574,-146.47917,0.55
63.96554,-148.28586,0.49
65.19934,-148.42995,1.24
62.7166,-145.96953,0.82
64.99452,-146.29943,0.67
65.05674,-146.29458,0.66
63.68064,-148.47729,0.63
65.08628,-147.18346,1.36
63.39047,-146.36394,0.94
64.982,-145.0151,0.84
63.24552,-147.24309,1.30
63.04081,-147.4836,1.25
64.36496,-148.74455,0.86
62.69634,-148.11981,1.23
63.43177,-148.11244,0.82
63.23189,-145.59825,1.24
63.87162,-147.88731,1.26
63.49226,-144.78598,0.59
64.91,-148.54228,0.47
63.81665,-146.86999,0.84
63.72201,-147.31824,0.81
64.20047,-147.04636,1.19
63.77403,-145.37242,0.80
64.15639,-146.2302,0.31
63.59441,-145.24306,0.55
65.23972,-147.22089,0.47
63.91094,-146.304,0.41
65.11881,-145.66455,1.25
63.63243,-148.57069,0.84
63.22936,-144.77802,0.55
65.3545,-147.51798,1.26
63.25689,-145.76876,0.99
63.46552,-146.9068,0.48
64.38889,-147.63143,1.80
65.06573,-144.56259,0.68
65.5031,-147.99384,0.46
63.38303,-146.35364,0.89
64.85075,-148.08655,0.98
64.4345,-147.31759,0.81
64.02029,-144.55356,0.60
64.78262,-147.01933,0.28
63.62831,-148.11839,0.65
64.45769,-148.30892,0.49
63.74207,-147.39385,0.00
64.72055,-146.83185,0.68
64.01168,-144.70352,0.07
64.88791,-145.61886,0.49
64.66791,-147.32873,0.60
63.64222,-148.60873,0.17
64.75344,-147.50451,0.00
62.74557,-147.20815,0.46
64.69822,-148.33762,0.46
62.82724,-146.16346,1.04
64.09013,-146.32366,0.48
64.7317,-146.56141,0.48
63.14881,-146.30579,0.13
64.55161,-146.39495,0.68
63.39798,-146.74271,0.34
65.32247,-147.71364,0.96
63.16177,-146.91869,1.44
63.30122,-147.80774,0.50
64.43848,-145.24345,0.62
63.34974,-145.27878,0.00
65.29243,-145.89335,0.53
65.08403,-144.85002,0.56
63.22773,-145.91159,0.34
63.97065,-147.86767,0.41
63.81825,-147.5274,0.45
63.58282,-146.07774,0.00
64.53318,-144.60135,0.49
64.43999,-148.11424,0.37
63.283,-148.61833,0.58
64.1508,-144.86957,1.26
63.05162,-145.46967,0.47
63.92544,-147.33064,0.55
62.7213,-146.78889,0.46
65.49795,-146.58699,0.74
64.42883,-145.62919,0.60
62.93901,-146.13356,0.53
65.14075,-147.70351,1.22
64.89554,-147.28383,1.34
65.26568,-148.26338,0.57
64.56768,-144.74267,0.25
63.74928,-146.7044,0.38
63.26236,-146.41629,0.07
64.56813,-147.46775,0.19
63.58052,-145.93632,0.03
64.13503,-147.54183,0.00
64.7218,-145.59551,0.29
64.16128,-144.90712,0.37
63.831,-144.85106,0.72
65.09462,-147.60877,0.08
65.3863,-145.64428,0.57
63.37943,-148.36278,0.49
63.74056,-146.99477,0.41
65.26034,-148.13233,0.38
63.93682,-147.25316,0.60
63.62708,-146.6249,0.00
65.08441,-146.57625,0.68
63.86049,-148.79259,0.30
64.93927,-147.34947,0.57
63.62446,-148.34737,0.52
63.73935,-147.10966,0.34
65.45483,-144.85112,0.35
65.59045,-148.35388,0.77
63.92805,-147.09971,0.82
64.49997,-147.67729,1.21
63.36383,-146.05181,1.19
64.93662,-147.99946,0.44
64.04968,-147.4406,1.39
62.78854,-148.61857,0.36
65.18189,-148.23111,1.03
63.03753,-147.38715,0.70
63.23546,-144.83133,0.68
62.70143,-146.9656,0.66
63.02176,-145.31683,0.54
62.75509,-147.74561,0.53
64.98787,-146.16974,0.83
64.09209,-148.57021,0.69
62.74429,-147.95893,0.60
63.22384,-147.02842,0.78
65.58518,-145.6938,0.54
64.01999,-148.74741,1.27
64.69679,-146.46277,0.40
64.17661,-147.98271,0.59
63.89952,-147.71622,0.65
63.39891,-146.44462,0.45
63.67647,-148.77748,1.52
63.58907,-146.68729,0.50
65.08794,-148.08575,0.41
64.62424,-148.49031,1.09
64.16938,-148.59132,1.18
65.23264,-146.04699,0.60
65.26096,-145.5823,0.47
65.16251,-144.93741,0.56
64.99731,-145.70453,0.53
65.4744,-145.77344,0.38
63.35038,-148.39036,0.61
63.8187,-146.63971,0.55
65.18042,-148.49856,0.63
62.96446,-146.91905,0.48
65.59137,-147.31747,0.60
65.48593,-147.25385,0.68
64.16676,-144.61301,0.48
64.07602,-144.76767,0.48
63.13984,-146.04271,0.55
63.34643,-144.68344,0.40
63.84503,-147.02734,0.57
64.44655,-145.67771,0.53
65.33388,-145.25473,0.70
64.31573,-147.85644,0.51
63.08365,-145.12791,0.55
63.98687,-146.73876,0.62
64.90743,-146.24406,0.67
63.2169,-146.65135,0.74
64.99524,-148.23543,0.55
64.60807,-148.80407,0.65
64.80334,-144.52812,0.59
64.70489,-148.20276,0.74
65.40205,-147.49298,0.74
62.9974,-148.3429,0.73
65.56029,-148.65359,0.53
63.07305,-147.55208,0.30
63.06407,-145.0117,0.41
65.20377,-146.19758,0.34
65.49428,-146.67915,0.43
63.93664,-147.84129,0.52
63.28039,-147.08479,0.36
65.20323,-146.51091,0.29
65.01079,-145.65225,0.46
64.08109,-146.54514,0.48
65.18791,-145.78887,0.23
65.1031,-144.73405,0.44
63.6416,-148.39611,0.51
62.92931,-145.57757,0.00
63.91156,-148.11123,0.29
64.37803,-146.0515,0.35
65.14626,-146.95854,0.28
63.65695,-147.10852,0.39
65.11671,-145.03943,0.54
65.24534,-145.1274,0.40
64.98596,-144.64073,0.43
64.61846,-148.216,0.65
65.47242,-145.38315,1.35
65.05951,-145.69862,1.00
63.7066,-147.2261,0.49
63.2241,-146.29491,0.42
65.53229,-147.69406,0.34
63.92363,-147.70436,0.73
65.39447,-145.05328,0.58
64.04316,-145.39503,1.20
62.74092,-148.25181,0.42
65.24891,-146.53041,1.04
63.24158,-145.22484,0.66
62.84546,-146.57329,0.54
64.35028,-147.62182,0.73
