lat,lon,prec_idf_hist,ng_idf_hist
64.22838,-144.88283,39.99,52.75
65.38499,-147.1732,63.86,67.05
64.03572,-147.23177,44.41,47.65
63.0264,-145.18753,49.34,56.28
63.36603,-147.69194,45.97,52.52
64.86224,-146.10659,56.38,69.12
62.77942,-147.73412,53.59,66.33
64.43882,-147.89695,61.86,68.89
65.22958,-145.70516,45.05,50.89
62.96174,-148.63803,40.22,51.72
62.81455,-146.82605,51.47,57.17
63.09599,-148.78702,61.31,65.53
63.85189,-144.81025,46.38,53.48
64.51035,-147.78857,49.64,58.32
64.1257,-146.1165,53.29,68.06
64.12763,-147.86259,42.22,49.3
62.82426,-145.3255,56.71,66.57
64.65373,-148.05261,63.76,70.72
64.39338,-145.95556,54.9,56.23
65.03083,-144.94144,44.52,53.32
63.10026,-147.95944,53.58,60.84
64.36772,-146.69777,58.25,66.91
63.63464,-147.58945,42.8,49.66
65.41934,-148.52916,51.07,65.13
63.27725,-146.43685,56.52,63.95
63.32261,-144.8107,65.93,78.05
63.84605,-145.21706,45.88,57.23
65.26479,-146.11841,54.57,56.41
65.5222,-147.999,52.45,60.47
65.49771,-145.08161,45.97,48.58
63.571,-147.84773,56.86,65.13
62.92935,-147.90014,50.65,64.48
65.33979,-145.86618,53.8,58.35
63.21905,-144.9681,48.73,62.51
64.09531,-147.72012,56.91,64.29
63.15439,-145.0182,68.15,81.2
63.15123,-147.06461,52.79,61.38
63.16763,-144.7419,43.14,44.33
64.85641,-147.20119,57.92,55.43
65.11176,-145.96641,51.71,61.76
64.54725,-148.46915,56.44,63.72
64.05384,-144.96899,52.29,61.63
64.8469,-146.97055,52.57,59.44
64.88207,-146.68632,38.52,42.09
65.03259,-147.07863,68.78,76.7
65.19642,-145.32092,59.12,64.11
63.94181,-145.04749,56.95,54
64.14253,-145.6727,45.94,55.98
62.87603,-146.86522,52.15,59.27
64.26459,-146.54912,41.81,49.24
65.02275,-147.30579,58.1,67.99
63.35886,-145.01787,52.5,53.62
63.69116,-147.39067,54.54,49.48
63.18881,-144.81498,67.2,74.81
64.79977,-147.5982,63.76,65.83
63.81736,-146.19588,64.9,72
65.22892,-148.05909,41.89,54.66
63.4951,-144.69865,47.97,59.08
65.13546,-146.84551,52.64,60.54
63.43506,-146.79465,50.87,56.15
62.85083,-148.27087,59.46,68.41
65.54438,-146.68147,68.56,76.47
64.7121,-145.08501,68.33,70.03
65.39842,-145.51703,44.86,60.09
64.66659,-147.78307,38.44,53.87
63.36144,-146.20902,54.47,59.8
62.90129,-144.93266,60.84,70.79
63.09261,-145.84217,49.75,57.45
64.83039,-147.52371,47.12,54.98
65.42653,-148.54051,66.74,72.73
63.09402,-148.15842,60.23,65.04
63.71568,-146.93605,39.36,50.74
63.43349,-144.6624,71.87,73.58
63.15005,-147.75352,56.18,60.78
63.40411,-147.30587,48.2,53.7
65.54904,-145.39805,57.02,68.91
64.62543,-144.63476,51.95,58.13
64.07175,-146.39126,40.72,48.33
63.29124,-147.77026,63.51,71.6
63.58393,-146.14846,59.75,65.11
63.5742,-148.55511,77.01,79.52
63.93519,-145.5708,50.45,59.38
64.77946,-147.78469,57.23,61.53
64.99489,-147.143,53.53,59.23
64.14543,-148.67452,44.87,47.05
63.76363,-146.16719,57.63,63.89
65.48577,-145.88724,63.01,72.61
63.4918,-145.58508,52.28,58.03
64.267,-144.77289,59.72,66.08
63.44693,-145.52411,56.01,68.23
62.96356,-145.71376,81.96,86.43
65.03814,-145.30932,55.98,62.73
64.43875,-145.78439,39.85,43.56
64.46335,-148.58202,53.69,56.63
63.69502,-146.1179,56.54,63.23
64.78172,-146.1808,65.83,76.04
62.92032,-144.59859,56.58,67.3
62.81965,-148.41019,55.85,61.51
64.61687,-146.41813,38.71,42.55
64.50374,-148.40287,62.37,64.61
63.22467,-144.68138,83.61,91.43
62.85312,-145.81426,54.56,52.2
65.13705,-146.9932,48.18,56.81
62.81892,-145.67837,66.07,75.98
63.90706,-146.2054,44.07,49.85
64.82636,-145.03279,58.58,67.03
64.05614,-146.48617,58,61.73
65.17523,-148.3678,57.1,52.48
64.72219,-148.32591,82.38,90.11
64.45605,-144.70579,66.84,67.94
65.36378,-147.48325,45.19,60.12
63.49631,-145.98139,46.82,60.66
63.60255,-145.66741,60.62,71.59
63.20672,-145.42796,59.11,64.61
62.76462,-147.71332,60.64,68.24
64.97459,-145.00462,85.13,88.27
63.20675,-144.74822,70.19,69.86
64.39806,-146.43409,44.93,62.25
65.03432,-147.90589,47.82,60.86
65.58441,-146.44838,62.7,70.55
62.79417,-146.57128,58.04,66.35
64.36398,-146.40874,55.57,61.32
62.90565,-145.36569,44.78,53.24
64.95915,-145.578,61.68,69.25
65.27157,-145.93519,81.6,84.5
63.92199,-147.49014,45.26,57.42
65.33277,-148.31901,73.59,72.79
63.97699,-144.56439,57.48,62.99
63.41735,-145.25568,52.64,55.96
64.48036,-148.0072,58.96,66.34
63.57528,-147.76051,48.68,54.23
65.03034,-145.53697,41.75,52.48
63.04893,-146.14658,76.42,81.95
64.86733,-147.65184,63.41,68.64
63.15255,-144.72207,80.83,77.03
65.37189,-145.50255,51.73,55.06
65.08598,-146.91672,60.01,61.75
64.88755,-145.73748,50.93,56.87
63.60574,-146.47917,41.45,49.97
63.96554,-148.28586,58.57,63.62
65.19934,-148.42995,79.09,87.06
62.7166,-145.96953,48.56,57.77
64.99452,-146.29943,64.06,71.51
65.05674,-146.29458,58.23,65.77
63.68064,-148.47729,88.01,87.17
65.08628,-147.18346,62.17,64.9
63.39047,-146.36394,39.76,45.61
64.982,-145.0151,51.16,56.78
63.24552,-147.24309,57.11,66.9
63.04081,-147.4836,84.46,87.54
64.36496,-148.74455,54.74,64.75
62.69634,-148.11981,65.44,76.26
63.43177,-148.11244,63.8,70.28
63.23189,-145.59825,35.29,44.49
63.87162,-147.88731,88.96,93.13
63.49226,-144.78598,55.59,55.46
64.91,-148.54228,80.11,83.49
63.81665,-146.86999,49.55,56.7
63.72201,-147.31824,41.01,49.17
64.20047,-147.04636,58.57,65.69
63.77403,-145.37242,63.38,79.88
64.15639,-146.2302,88.26,96.49
63.59441,-145.24306,62.75,58.35
65.23972,-147.22089,66.02,71.58
63.91094,-146.304,42.78,61.13
65.11881,-145.66455,47.73,51.95
63.63243,-148.57069,71.64,77.9
63.22936,-144.77802,62.25,69.35
65.3545,-147.51798,59.55,65.92
63.25689,-145.76876,86.89,91.32
63.46552,-146.9068,68.66,70.47
64.38889,-147.63143,46.05,52.64
65.06573,-144.56259,43.93,60.36
65.5031,-147.99384,65.45,68.27
63.38303,-146.35364,61.87,69.01
64.85075,-148.08655,61.6,68.23
64.4345,-147.31759,60.83,68.05
64.02029,-144.55356,82.06,91.86
64.78262,-147.01933,41.16,49.23
63.62831,-148.11839,45.53,60.67
64.45769,-148.30892,71.66,72.1
63.74207,-147.39385,61.76,69.72
64.72055,-146.83185,50.71,58.35
64.01168,-144.70352,62.05,64.18
64.88791,-145.61886,42.98,50.07
64.66791,-147.32873,42.05,58.91
63.64222,-148.60873,78.9,87.66
64.75344,-147.50451,64.25,70.39
62.74557,-147.20815,77.78,77.72
64.69822,-148.33762,48.04,53.63
62.82724,-146.16346,64.64,69.39
64.09013,-146.32366,47.44,56.73
64.7317,-146.56141,42.03,52.98
63.14881,-146.30579,60.29,64.19
64.55161,-146.39495,81.98,89.13
63.39798,-146.74271,66.08,77.62
65.32247,-147.71364,49.76,60.09
63.16177,-146.91869,83.44,79.94
63.30122,-147.80774,53,59.22
64.43848,-145.24345,61.06,68.67
63.34974,-145.27878,40.38,48.34
65.29243,-145.89335,58.91,63.27
65.08403,-144.85002,51.98,59.16
63.22773,-145.91159,80.97,88.55
63.97065,-147.86767,54.29,59.57
63.81825,-147.5274,62.82,72.74
63.58282,-146.07774,69.3,79.35
64.53318,-144.60135,84.99,85.25
64.43999,-148.11424,38.37,49.66
63.283,-148.61833,59.35,56.6
64.1508,-144.86957,76.63,80.69
63.05162,-145.46967,48.61,56.01
63.92544,-147.33064,59.88,64.99
62.7213,-146.78889,37.56,45.95
65.49795,-146.58699,63.56,75.14
64.42883,-145.62919,84.74,89.09
62.93901,-146.13356,69.1,78.73
65.14075,-147.70351,69.8,60.82
64.89554,-147.28383,44.13,54.16
65.26568,-148.26338,40.89,45.93
64.56768,-144.74267,69.08,74.73
63.74928,-146.7044,66.32,78.72
63.26236,-146.41629,61.48,67.29
64.56813,-147.46775,83.76,86.16
63.58052,-145.93632,69.03,75.39
64.13503,-147.54183,40.44,44.63
64.7218,-145.59551,40.67,53.86
64.16128,-144.90712,63.5,67.54
63.831,-144.85106,66.97,73.22
65.09462,-147.60877,54.64,68.84
65.3863,-145.64428,62.72,66.95
63.37943,-148.36278,79.72,89.64
63.74056,-146.99477,40.51,42.86
65.26034,-148.13233,41.63,53.64
63.93682,-147.25316,70.22,75.94
63.62708,-146.6249,68.51,73.19
65.08441,-146.57625,42.23,56.85
63.86049,-148.79259,60.72,64.61
64.93927,-147.34947,44.74,45.77
63.62446,-148.34737,43.14,52.61
63.73935,-147.10966,77.68,88.62
65.45483,-144.85112,64.94,67
65.59045,-148.35388,71.34,76.12
63.92805,-147.09971,43.79,53.55
64.49997,-147.67729,66.21,73.93
63.36383,-146.05181,51.49,54.72
64.93662,-147.99946,43.91,56.23
64.04968,-147.4406,60.21,64.11
62.78854,-148.61857,77.98,86.97
65.18189,-148.23111,68.71,74.39
63.03753,-147.38715,72.17,73.93
63.23546,-144.83133,54.72,57.78
62.70143,-146.9656,46.99,53.83
63.02176,-145.31683,63.53,70.47
62.75509,-147.74561,45.8,57.66
64.98787,-146.16974,60.9,64.03
64.09209,-148.57021,79.05,82.51
62.74429,-147.95893,56.94,57.69
63.22384,-147.02842,50.05,56.15
65.58518,-145.6938,74.29,80.56
64.01999,-148.74741,63.34,77.88
64.69679,-146.46277,74.58,75.4
64.17661,-147.98271,45.75,56.97
63.89952,-147.71622,62.16,59.63
63.39891,-146.44462,73.52,81.68
63.67647,-148.77748,45.29,54.23
63.58907,-146.68729,62.76,67.14
65.08794,-148.08575,45.08,53.05
64.62424,-148.49031,64.78,86.16
64.16938,-148.59132,76.93,78.66
65.23264,-146.04699,77.41,81.42
65.26096,-145.5823,68.29,61.05
65.16251,-144.93741,42.12,53.78
64.99731,-145.70453,42.76,45.69
65.4744,-145.77344,64.98,76.48
63.35038,-148.39036,54.84,79.99
63.8187,-146.63971,64.04,68.55
65.18042,-148.49856,79.27,79.76
62.96446,-146.91905,74.29,76.62
65.59137,-147.31747,39.47,51.48
65.48593,-147.25385,41.01,45.29
64.16676,-144.61301,63.96,68.72
64.07602,-144.76767,65.28,76.54
63.13984,-146.04271,41.52,67.03
63.34643,-144.68344,65.28,66.86
63.84503,-147.02734,78,81.01
64.44655,-145.67771,46.81,44.4
65.33388,-145.25473,72.02,72
64.31573,-147.85644,40.94,52.41
63.08365,-145.12791,64.31,72.82
63.98687,-146.73876,37.64,53.16
64.90743,-146.24406,63.26,68.06
63.2169,-146.65135,51.68,48.22
64.99524,-148.23543,41.97,52.4
64.60807,-148.80407,75.15,82.55
64.80334,-144.52812,67.24,66.74
64.70489,-148.20276,69.99,69.23
65.40205,-147.49298,39.16,52.87
62.9974,-148.3429,62.01,72.38
65.56029,-148.65359,55.7,53.54
63.07305,-147.55208,62.3,66.73
63.06407,-145.0117,44.83,55.08
65.20377,-146.19758,76.3,87.58
65.49428,-146.67915,69.49,69.78
63.93664,-147.84129,66.95,72.83
63.28039,-147.08479,42.42,54.6
65.20323,-146.51091,61,57.22
65.01079,-145.65225,46.47,61.18
64.08109,-146.54514,63.26,68.52
65.18791,-145.78887,70.28,82.59
65.1031,-144.73405,67.03,62.74
63.6416,-148.39611,47.25,56.71
62.92931,-145.57757,73.12,74.7
63.91156,-148.11123,66.86,68.6
64.37803,-146.0515,50.2,63.98
65.14626,-146.95854,71.96,67.11
63.65695,-147.10852,64.78,77.66
65.11671,-145.03943,42.92,54.18
65.24534,-145.1274,66.39,71.25
64.98596,-144.64073,51.37,57.18
64.61846,-148.216,46.19,67.87
65.47242,-145.38315,70.85,66.83
65.05951,-145.69862,78.38,74.43
63.7066,-147.2261,83.64,71.37
63.2241,-146.29491,40.06,51.37
65.53229,-147.69406,63.42,74.39
63.92363,-147.70436,46.51,45.53
65.39447,-145.05328,40.52,63.39
64.04316,-145.39503,91.48,80.42
62.74092,-148.25181,68.35,70.64
65.24891,-146.53041,80.16,75.46
63.24158,-145.22484,76.79,70.74
62.84546,-146.57329,40.9,53.47
64.35028,-147.62182,46.6,50.46
65.14517,-147.3452,68.34,70.51
64.94363,-148.57006,65.99,76.6
63.13696,-146.01602,41.24,57.29
63.42774,-146.59988,67.09,70.19
63.23453,-148.03645,83.53,83.57
65.37707,-147.35676,55,55.1
62.68362,-148.65164,73.78,67.93
64.44436,-148.02496,44.57,60.12
63.28518,-147.3222,66.27,76.96
62.78285,-148.35752,66.27,71.9
63.9372,-145.29557,40.66,54.18
62.86128,-146.48144,59.49,57.57
65.39711,-144.72052,43.7,60.87
64.65317,-147.0435,82.26,89.85
63.69132,-148.11681,69.28,72.28
63.03874,-147.52661,70.83,67.2
62.76524,-145.42721,39.69,52.43
65.29423,-148.23419,61.17,80.84
64.59582,-147.62885,62.04,59.85
64.7234,-145.55038,66.27,71.55
64.4161,-144.86115,44.1,57.8
63.36484,-145.18517,74.33,85.59
65.02583,-145.98526,70.13,72.36
62.96156,-144.89933,72.69,72.48
64.1429,-147.62442,40.74,54.06
62.8802,-145.19702,64.66,62.65
65.29323,-147.32657,53.92,75.04
63.99215,-147.82845,46.38,60.41
63.30477,-145.10482,65.5,68.8
64.56727,-148.0662,63.57,77.38
64.01316,-147.7176,73.72,72.23
63.96061,-144.58842,43.86,57.21
65.52228,-148.71722,67.83,67.61
65.04406,-148.50635,71.21,72.73
65.29587,-147.35498,47.36,63.6
62.78606,-147.35545,50.33,61.82
63.95972,-144.97947,86.6,77
64.98129,-145.60979,58.92,73.87
65.42396,-144.97532,68.37,68.85
64.91541,-147.36191,44.91,55.51
65.17746,-147.83296,49.17,54.31
64.57229,-144.84291,48.26,61.64
63.75803,-147.04304,67.48,66.13
63.3094,-148.49375,71.01,66.74
63.33748,-144.71697,96.47,87.72
65.41494,-146.43816,42.35,51.09
65.31853,-145.59373,58.3,72.4
64.91192,-146.99498,45.76,47.72
63.7032,-147.12795,70,72.09
65.49448,-145.4153,49.88,62.21
63.75479,-145.02398,100.09,89.64
64.31794,-147.21763,60.44,66.11
63.38705,-145.44304,76.58,65.93
63.33887,-147.09796,45.33,56.74
63.87045,-146.71315,50.84,54.15
62.69476,-147.02446,58.22,72.15
65.14829,-148.20347,45.61,58.51
63.78413,-147.82986,71.61,74.87
63.43945,-145.51396,60.45,71.2
63.61586,-148.05332,74.87,65.64
63.68965,-146.99214,61.41,60.39
62.7354,-146.55911,48.38,62.47
64.33115,-148.02261,58.69,75.32
63.9052,-148.31456,70.77,77.32
65.25885,-146.37566,43.59,58.28
64.41714,-146.24885,70.35,64.92
64.3851,-146.36823,60.81,76.41
64.95222,-145.32973,72.59,74.36
64.43828,-145.90153,45.2,61.48
63.03726,-148.63185,71.65,68.23
63.62396,-145.51275,56.52,72.86
64.11748,-148.22745,41.96,59.14
64.67626,-145.88619,71.66,63.31
64.97856,-148.25845,67.17,74.11
63.19448,-146.80367,46.72,62
62.96673,-148.69152,61.17,76.92
64.09769,-146.52191,72.41,73.23
64.51505,-147.77165,75.17,74.15
63.23178,-146.00838,41.52,61.73
63.20843,-146.38771,70.82,62.66
63.27738,-145.43196,54.03,65.78
63.03868,-148.30994,53.11,65.63
64.30749,-145.08494,65.24,68.46
65.11967,-145.06753,58.17,71.51
65.2113,-145.22243,78.4,68.33
63.7541,-147.13077,42.24,59.04
62.94131,-144.55861,70.44,66.76
64.58818,-146.25789,74.81,75.5
63.01306,-148.71253,57.62,69.91
63.41434,-144.88711,54.24,65.61
65.15654,-148.51031,93.34,80.4
63.30383,-147.83467,53.35,65.92
63.66315,-145.40527,67.68,66.96
64.77736,-148.31354,43.88,55.52
64.98687,-147.05854,49.29,55.73
65.54081,-145.74989,60.58,72.82
64.76582,-147.90889,68.04,62.76
63.8193,-148.75453,70.98,67.74
64.12853,-147.34319,105.6,92.34
63.79461,-146.46602,44.21,53.29
63.98855,-146.8818,50.23,62.36
64.6292,-148.54625,51.04,53.94
64.20926,-147.20095,72.51,70.68
63.07288,-148.33612,56.29,66.98
64.22496,-147.62675,110.47,97.4
63.11197,-147.88384,59.81,63.79
62.91705,-148.36578,71.75,64.79
64.79216,-144.89017,46.98,55.32
63.26108,-144.88789,57.3,56.6
63.19776,-147.33698,49.35,62.31
62.86206,-148.79396,50.7,58.65
63.66768,-147.80095,76.81,75.05
62.85807,-146.99977,59.01,67.7
64.11602,-144.61366,74.51,66.02
65.09567,-145.43955,66.77,62.44
63.54375,-147.7616,51.51,60.8
63.14214,-144.79868,74.12,76.89
64.66447,-144.87698,49.88,64.31
64.92788,-146.51372,45.95,63.01
62.99255,-144.55791,78.63,71.56
64.07072,-148.75251,83.57,79.72
64.49343,-145.34377,57.8,65.49
63.85402,-146.06136,49.71,62.81
