return_period_yr,lat,lon,prec_idf_hist,prec_idf_future_medium,prec_idf_future_high,ng_idf_hist,ng_idf_future_medium,ng_idf_future_high
2,62.682,-147.53268,26.12,31.67,33.67,50.64,44.29,46.29
2,62.68213,-144.53275,35.95,41.13,43.13,38.59,41.71,43.71
2,62.68214,-148.16132,25.34,30.70,32.70,53.46,46.99,48.99
2,62.68298,-146.42998,29.92,34.61,36.61,49.94,46.50,48.50
2,62.68371,-146.98134,29.02,33.37,35.37,43.36,44.14,46.14
2,62.68505,-145.00702,33.25,39.89,41.89,46.06,46.92,48.92
2,62.68549,-145.95569,33.40,41.29,43.29,46.34,43.14,45.14
2,62.68616,-145.48135,36.33,40.06,42.06,57.81,51.20,53.20
2,62.68639,-148.23874,27.13,31.84,33.84,60.14,52.11,54.11
2,62.68663,-147.61002,26.30,32.30,34.30,54.49,43.47,45.47
2,62.68829,-146.5071,30.35,33.48,35.48,51.74,49.75,51.75
2,62.6886,-144.60944,35.01,39.84,41.84,38.23,41.84,43.84
2,62.68867,-147.05856,28.04,33.47,35.47,43.49,43.49,45.49
2,62.69057,-148.31619,30.29,36.44,38.44,61.16,56.01,58.01
2,62.69109,-146.03271,33.05,40.16,42.16,50.85,44.24,46.24
2,62.6912,-147.68735,26.93,31.27,33.27,51.34,42.37,44.37
2,62.69123,-145.08382,33.51,39.67,41.67,47.09,46.18,48.18
2,62.69205,-145.55827,37.32,41.00,43.00,58.09,51.76,53.76
2,62.69355,-146.58424,31.65,33.11,35.11,50.71,51.89,53.89
2,62.69359,-147.13583,27.25,32.30,34.30,42.65,39.98,41.98
2,62.69471,-148.39368,31.97,38.28,40.28,63.10,55.20,57.20
2,62.69503,-144.68616,33.50,39.15,41.15,38.66,43.10,45.10
2,62.69574,-147.76474,27.47,31.52,33.52,50.17,43.70,45.70
2,62.69664,-146.10977,32.55,38.64,40.64,49.57,45.16,47.16
2,62.69737,-145.16068,33.36,38.64,40.64,47.74,45.49,47.49
2,62.6979,-145.63524,38.96,44.53,46.53,53.94,54.01,56.01
2,62.69847,-147.2131,27.04,32.79,34.79,43.73,41.69,43.69
2,62.69876,-146.66142,32.88,34.10,36.10,52.93,54.66,56.66
2,62.6988,-148.47116,32.37,38.01,40.01,53.33,47.68,49.68
2,62.70022,-147.84213,27.70,31.52,33.52,50.18,40.63,42.63
2,62.70142,-144.76294,33.00,38.65,40.65,39.66,43.30,45.30
2,62.70214,-146.18686,32.44,36.75,38.75,50.10,44.80,46.80
2,62.70285,-148.54871,32.75,37.02,39.02,41.42,43.87,45.87
2,62.70329,-147.29042,29.65,35.19,37.19,50.97,48.29,50.29
2,62.70346,-145.23756,33.22,38.16,40.16,47.28,44.25,46.25
2,62.7037,-145.71223,39.80,46.88,48.88,53.81,54.02,56.02
2,62.70393,-146.73865,32.95,35.43,37.43,53.45,54.40,56.40
2,62.70466,-147.91956,25.58,28.18,30.18,42.72,39.95,41.95
2,62.70684,-148.62625,34.79,36.77,38.77,43.75,43.88,45.88
2,62.70761,-146.26399,32.17,35.56,37.56,49.41,42.11,44.11
2,62.70774,-144.83974,33.13,38.88,40.88,42.47,45.22,47.22
2,62.70807,-147.36777,31.69,37.61,39.61,56.86,52.20,54.20
2,62.70904,-146.81587,33.09,34.80,36.80,53.64,51.18,53.18
2,62.70904,-147.99701,23.33,26.79,28.79,40.17,36.68,38.68
2,62.70945,-145.78925,39.48,45.54,47.54,53.43,49.94,51.94
2,62.70951,-145.31448,34.40,38.33,40.33,49.01,44.43,46.43
2,62.71079,-148.70383,34.93,34.56,36.56,45.90,42.97,44.97
2,62.7128,-147.44513,28.57,33.97,35.97,48.89,48.45,50.45
2,62.71301,-146.34116,31.74,35.77,37.77,46.20,38.91,40.91
2,62.71338,-148.07449,25.96,30.86,32.86,51.30,44.13,46.13
2,62.71404,-144.91656,33.97,40.48,42.48,48.20,47.19,49.19
2,62.71412,-146.89314,32.59,33.90,35.90,50.23,44.79,46.79
2,62.7147,-148.78142,34.14,33.08,35.08,38.38,39.56,41.56
2,62.71516,-145.86632,38.61,43.33,45.33,54.42,47.54,49.54
2,62.7155,-145.39145,36.58,39.69,41.69,56.98,48.69,50.69
2,62.71731,-144.51855,37.88,43.45,45.45,41.08,45.28,47.28
2,62.71748,-147.52254,26.18,32.56,34.56,48.15,45.70,47.70
2,62.71767,-148.15201,29.24,36.46,38.46,61.34,52.71,54.71
2,62.71838,-146.41833,31.31,35.25,37.25,46.56,39.58,41.58
2,62.71914,-146.97046,31.41,35.26,37.26,47.59,45.68,47.68
2,62.72028,-144.99345,34.94,41.07,43.07,50.85,47.35,49.35
2,62.72082,-145.94342,39.12,44.00,46.00,52.80,48.35,50.35
2,62.72145,-145.46843,38.09,41.13,43.13,57.62,53.90,55.90
2,62.72192,-148.22954,28.37,35.65,37.65,60.44,52.78,54.78
2,62.72211,-147.59996,25.10,32.09,34.09,52.30,46.13,48.13
2,62.7237,-146.49557,31.38,34.39,36.39,52.20,45.89,47.89
2,62.7238,-144.59535,35.88,42.46,44.46,42.06,45.25,47.25
2,62.72411,-147.04779,30.58,34.98,36.98,48.51,48.82,50.82
2,62.72611,-148.3071,28.40,34.74,36.74,46.97,44.42,46.42
2,62.72643,-146.02054,39.34,42.29,44.29,52.91,48.66,50.66
2,62.72648,-145.07037,35.27,40.52,42.52,51.09,47.34,49.34
2,62.72669,-147.67741,25.11,30.81,32.81,48.32,42.40,44.40
2,62.72736,-145.54546,39.94,43.86,45.86,59.38,59.47,61.47
2,62.72897,-146.57281,32.33,34.17,36.17,50.25,47.93,49.93
2,62.72904,-147.12514,29.46,33.01,35.01,43.67,43.21,45.21
2,62.73024,-144.67218,33.83,40.66,42.66,41.19,44.00,46.00
2,62.73026,-148.38467,30.88,35.87,37.87,41.31,44.50,46.50
2,62.73124,-147.7549,26.71,30.89,32.89,55.98,43.80,45.80
2,62.73199,-146.09772,38.30,41.40,43.40,52.39,51.68,53.68
2,62.73263,-145.14732,34.74,39.05,41.05,50.16,46.61,48.61
2,62.73321,-145.62253,43.26,46.46,48.46,60.46,63.17,65.17
2,62.73392,-147.20251,29.40,34.26,36.26,46.15,43.10,45.10
2,62.73418,-146.65009,34.21,35.26,37.26,53.28,52.67,54.67
2,62.73436,-148.46228,32.18,36.50,38.50,41.14,44.12,46.12
2,62.73572,-147.8324,27.33,30.58,32.58,54.14,44.23,46.23
2,62.73663,-144.74905,33.79,39.80,41.80,44.31,44.23,46.23
2,62.7375,-146.1749,38.43,40.59,42.59,55.56,53.87,55.87
2,62.73841,-148.53992,31.66,34.78,36.78,39.97,40.12,42.12
2,62.73873,-145.2243,34.72,39.51,41.51,52.83,47.10,49.10
2,62.73875,-147.27994,34.16,39.01,41.01,58.62,52.93,54.93
2,62.73901,-145.69962,45.98,50.37,52.37,63.48,63.96,65.96
2,62.73935,-146.72742,34.33,36.11,38.11,53.69,52.43,54.43
2,62.74016,-147.90994,25.74,28.75,30.75,38.14,38.66,40.66
2,62.74241,-148.61757,32.76,34.40,36.40,40.18,40.29,42.29
2,62.74297,-144.82596,33.89,39.20,41.20,47.31,43.64,45.64
2,62.74297,-146.25212,39.24,40.79,42.79,57.87,52.47,54.47
2,62.74353,-147.35739,35.13,40.34,42.34,60.51,54.32,56.32
2,62.74449,-146.80475,34.55,36.95,38.95,55.58,52.48,54.48
2,62.74455,-147.98749,23.73,27.63,29.63,35.08,32.89,34.89
2,62.74478,-145.30133,35.89,39.17,41.17,54.39,46.58,48.58
2,62.74478,-145.77673,46.36,51.74,53.74,63.00,62.97,64.97
2,62.74637,-148.69525,33.91,34.48,36.48,38.78,40.69,42.69
2,62.74827,-147.43486,30.86,36.17,38.17,55.13,50.83,52.83
2,62.74839,-146.32938,38.59,41.32,43.32,57.27,53.18,55.18
2,62.74891,-148.06506,27.65,31.06,33.06,52.41,42.36,44.36
2,62.74926,-144.90289,35.14,40.99,42.99,50.03,45.73,47.73
2,62.74957,-146.88213,36.31,38.46,40.46,59.07,53.44,55.44
2,62.75027,-148.77295,35.27,34.75,36.75,36.95,36.92,38.92
2,62.7505,-145.85391,46.22,50.36,52.36,61.65,59.42,61.42
2,62.75078,-145.37839,36.59,39.48,41.48,56.50,46.98,48.98
2,62.75296,-147.51236,28.52,35.26,37.26,54.61,48.82,50.82
