latitude,longitude,mean_height_m,max_LAI,dominant_LULC
64.22838,-144.88283,5.2,2.79,deciduous
65.38499,-147.1732,3.11,2.08,shrub
64.03572,-147.23177,3.95,2.75,shrub
63.0264,-145.18753,3.22,1.48,shrub
63.36603,-147.69194,2.35,1.78,shrub
64.86224,-146.10659,5.39,3.75,shrub
62.77942,-147.73412,4.52,1.98,shrub
64.43882,-147.89695,3.54,1.98,shrub
65.22958,-145.70516,3.39,1.6,shrub
62.96174,-148.63803,2.14,1.2,shrub
62.81455,-146.82605,3.32,2.0,shrub
63.09599,-148.78702,2.85,0.73,shrub
63.85189,-144.81025,6.93,2.22,evergreen
64.51035,-147.78857,4.05,2.26,shrub
64.1257,-146.1165,3.72,2.29,shrub
64.12763,-147.86259,3.71,2.14,evergreen
62.82426,-145.3255,3.26,2.22,evergreen
64.65373,-148.05261,4.19,3.14,evergreen
64.39338,-145.95556,11.95,3.25,evergreen
65.03083,-144.94144,4.38,2.06,shrub
63.10026,-147.95944,0.51,2.04,shrub
64.36772,-146.69777,9.56,2.67,evergreen
63.63464,-147.58945,1.07,0.0,open
65.41934,-148.52916,4.41,2.89,evergreen
63.27725,-146.43685,3.24,1.72,shrub
63.32261,-144.8107,0.37,0.88,open
63.84605,-145.21706,4.24,2.66,wetland
65.26479,-146.11841,3.43,2.22,evergreen
65.5222,-147.999,3.23,1.99,shrub
65.49771,-145.08161,4.14,2.03,shrub
63.571,-147.84773,5.22,0.5,open
62.92935,-147.90014,0.82,1.79,shrub
65.33979,-145.86618,2.91,2.09,evergreen
63.21905,-144.9681,,0.0,open
64.09531,-147.72012,3.74,2.61,shrub
63.15439,-145.0182,3.12,1.57,shrub
63.15123,-147.06461,3.06,1.33,shrub
63.16763,-144.7419,0.38,0.0,open
64.85641,-147.20119,3.37,2.51,evergreen
65.11176,-145.96641,3.41,2.26,shrub
64.54725,-148.46915,3.74,2.62,wetland
64.05384,-144.96899,3.52,1.86,evergreen
64.8469,-146.97055,7.45,3.48,deciduous
64.88207,-146.68632,6.99,3.34,deciduous
65.03259,-147.07863,3.27,2.53,evergreen
65.19642,-145.32092,3.63,2.08,shrub
63.94181,-145.04749,5.3,3.23,shrub
64.14253,-145.6727,5.24,2.61,evergreen
62.87603,-146.86522,3.27,1.96,evergreen
64.26459,-146.54912,5.38,1.21,open
65.02275,-147.30579,9.74,3.0,evergreen
63.35886,-145.01787,,0.0,open
63.69116,-147.39067,,0.0,open
63.18881,-144.81498,3.01,0.12,open
64.79977,-147.5982,2.71,2.66,wetland
63.81736,-146.19588,3.44,2.39,shrub
65.22892,-148.05909,3.99,2.67,evergreen
63.4951,-144.69865,0.25,0.44,open
65.13546,-146.84551,4.15,3.13,shrub
63.43506,-146.79465,0.27,0.0,open
62.85083,-148.27087,2.96,2.18,evergreen
65.54438,-146.68147,4.11,2.24,evergreen
64.7121,-145.08501,2.93,1.35,evergreen
65.39842,-145.51703,3.97,1.52,evergreen
64.66659,-147.78307,5.38,2.66,deciduous
63.36144,-146.20902,0.29,0.0,open
62.90129,-144.93266,3.45,2.12,shrub
63.09261,-145.84217,2.73,1.36,shrub
64.83039,-147.52371,6.08,2.49,open
65.42653,-148.54051,5.66,3.08,deciduous
63.09402,-148.15842,0.62,2.0,shrub
63.71568,-146.93605,2.75,0.37,open
63.43349,-144.6624,,0.0,open
63.15005,-147.75352,0.23,1.18,shrub
63.40411,-147.30587,1.41,1.77,shrub
65.54904,-145.39805,3.33,1.99,shrub
64.62543,-144.63476,3.84,1.76,shrub
64.07175,-146.39126,2.68,1.88,evergreen
63.29124,-147.77026,1.69,1.66,shrub
63.58393,-146.14846,4.19,0.44,open
63.5742,-148.55511,3.02,0.65,open
63.93519,-145.5708,4.77,2.18,evergreen
64.77946,-147.78469,4.05,2.13,wetland
64.99489,-147.143,11.33,3.77,deciduous
64.14543,-148.67452,3.68,1.62,evergreen
63.76363,-146.16719,3.26,2.54,evergreen
65.48577,-145.88724,3.42,1.92,evergreen
63.4918,-145.58508,,0.0,open
64.267,-144.77289,4.69,2.14,evergreen
63.44693,-145.52411,,0.0,open
62.96356,-145.71376,4.67,2.58,shrub
65.03814,-145.30932,7.49,2.68,evergreen
64.43875,-145.78439,3.98,3.01,shrub
64.46335,-148.58202,4.3,2.05,evergreen
63.69502,-146.1179,3.27,2.54,shrub
64.78172,-146.1808,4.93,2.56,evergreen
62.92032,-144.59859,3.17,2.32,shrub
62.81965,-148.41019,4.0,2.07,evergreen
64.61687,-146.41813,4.33,3.85,deciduous
64.50374,-148.40287,3.79,2.33,evergreen
63.22467,-144.68138,,0.0,open
62.85312,-145.81426,4.12,2.34,shrub
65.13705,-146.9932,3.58,2.9,shrub
62.81892,-145.67837,3.45,1.92,evergreen
63.90706,-146.2054,3.23,2.44,wetland
64.82636,-145.03279,3.63,2.08,evergreen
64.05614,-146.48617,5.19,2.34,wetland
65.17523,-148.3678,7.02,4.8,deciduous
64.72219,-148.32591,13.35,4.18,deciduous
64.45605,-144.70579,3.8,2.01,shrub
65.36378,-147.48325,2.14,1.86,shrub
63.49631,-145.98139,4.85,0.62,open
63.60255,-145.66741,2.57,0.94,open
63.20672,-145.42796,3.12,1.44,shrub
62.76462,-147.71332,6.26,2.81,shrub
64.97459,-145.00462,3.7,2.28,evergreen
63.20675,-144.74822,0.24,0.0,open
64.39806,-146.43409,6.23,3.19,deciduous
65.03432,-147.90589,2.3,2.04,wetland
65.58441,-146.44838,3.44,2.16,evergreen
62.79417,-146.57128,0.64,2.12,shrub
64.36398,-146.40874,12.35,3.32,deciduous
62.90565,-145.36569,3.29,1.83,evergreen
